send_height,kind,to_host,amount_gas
19,init,c1,100.0
19,init,c2,100.0
19,init,c3,100.0
19,init,c4,100.0
19,init,c5,100.0
19,init,m1,50.0
19,init,m2,50.0
19,init,m3,50.0
19,init,ca,50.0
110,refill,m1,100.0
129,refill,m1,100.0
129,refill,m2,100.0
138,refill,m1,100.0
146,refill,m1,100.0
146,refill,m2,100.0
163,refill,m1,100.0
163,refill,m3,100.0
170,refill,m1,100.0
186,refill,m1,100.0
186,refill,m2,100.0
195,refill,m1,100.0
204,refill,m1,100.0
204,refill,m2,100.0
220,refill,m1,100.0
236,refill,m1,100.0
245,refill,m1,100.0
245,refill,m2,100.0
253,refill,m1,100.0
270,refill,m1,100.0
270,refill,m2,100.0
270,refill,m3,100.0
278,refill,m1,100.0
294,refill,m1,100.0
301,refill,m1,100.0
310,refill,m2,100.0
319,refill,m1,100.0
327,refill,m1,100.0
327,refill,m2,100.0
344,refill,m1,100.0
352,refill,m1,100.0
370,refill,m1,100.0
370,refill,m2,100.0
378,refill,m1,100.0
378,refill,m3,100.0
387,refill,m1,100.0
387,refill,m2,100.0
404,refill,m1,100.0
412,refill,m1,100.0
421,refill,m1,100.0
421,refill,m2,100.0
437,refill,m1,100.0
445,refill,m1,100.0
445,refill,m2,100.0
462,refill,m1,100.0
471,refill,m1,100.0
487,refill,m1,100.0
487,refill,m2,100.0
487,refill,m3,100.0
495,refill,m1,100.0
513,refill,m1,100.0
513,refill,m2,100.0
522,refill,m1,100.0
530,refill,m1,100.0
549,refill,m1,100.0
549,refill,m2,100.0
558,refill,m1,100.0
