tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
143,144,admin,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:28,9,run/data/admin/debug.log,752
143,144,m1,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:23,10,run/data/m1/debug.log,660
143,144,m2,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:23,10,run/data/m2/debug.log,659
143,144,m3,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:24,10,run/data/m3/debug.log,659
144,145,admin,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:32,2,run/data/admin/debug.log,803
144,145,m1,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:28,3,run/data/m1/debug.log,1478
144,145,m2,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:28,3,run/data/m2/debug.log,1412
144,145,m3,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:28,3,run/data/m3/debug.log,854
145,146,admin,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:37,2,run/data/admin/debug.log,817
145,146,m1,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:31,3,run/data/m1/debug.log,1680
145,146,m2,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:32,3,run/data/m2/debug.log,1469
145,146,m3,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:32,3,run/data/m3/debug.log,911
146,147,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:41,2,run/data/admin/debug.log,833
146,147,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:37,3,run/data/m1/debug.log,2101
146,147,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:38,3,run/data/m2/debug.log,1484
146,147,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:38,3,run/data/m3/debug.log,926
147,148,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:07:44,2,run/data/admin/debug.log,847
147,148,m1,12,3.667,3.000,-0.667,1.500,2000-01-01 00:07:41,3,run/data/m1/debug.log,2235
147,148,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:07:42,3,run/data/m2/debug.log,1499
147,148,m3,12,3.667,3.000,-0.667,1.500,2000-01-01 00:07:42,3,run/data/m3/debug.log,941
148,149,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:48,2,run/data/admin/debug.log,861
148,149,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:43,3,run/data/m1/debug.log,2440
148,149,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:44,3,run/data/m2/debug.log,1514
148,149,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:44,3,run/data/m3/debug.log,956
149,150,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:07:52,2,run/data/admin/debug.log,876
149,150,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:07:48,3,run/data/m1/debug.log,2487
149,150,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:07:49,3,run/data/m2/debug.log,1534
149,150,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:07:49,3,run/data/m3/debug.log,976
150,151,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:57,2,run/data/admin/debug.log,890
150,151,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:52,3,run/data/m1/debug.log,2649
150,151,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:53,3,run/data/m2/debug.log,1549
150,151,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:53,3,run/data/m3/debug.log,991
151,152,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:01,2,run/data/admin/debug.log,907
151,152,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:56,3,run/data/m1/debug.log,3035
151,152,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:58,3,run/data/m2/debug.log,1564
151,152,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:07:58,3,run/data/m3/debug.log,1006
152,153,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:08:06,2,run/data/admin/debug.log,921
