txid,publisher_address,publisher_host,node_address,node_host,weight,epoch_tag,height_payload,timestamp_payload,blocktime,confirmations,confirm_height,confirm_height_source
37be0ce32f6505d91ab7b48e237b4c7ad3fb988c55104a9f9d0c5fff37740166,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1,6,85,946685064,946685065,444,86,txs.log UpdateTx
a8e060decd09af8422f954a315a243509629317ba765c6e29c1d2ed545202510,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1,6,85,946685064,946685065,444,86,txs.log UpdateTx
78df9e7ecab1dfffb5e6f5d1cc6665c7e46a9d5fc8627dc9c37f213c23bfd6b0,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1,6,85,946685064,946685065,444,86,txs.log UpdateTx
96eed55239a89b6f330523dba96225874777f09a283a89853b38f1dd33e6c03a,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,12606,8,101,946685112,946685116,428,102,txs.log UpdateTx
3accc6c4f0cff0a1750813fcf27c1ac38def5cdd169bbb93f875395e32c7b22e,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,3269,8,101,946685112,946685116,428,102,txs.log UpdateTx
4b816c368f42a79e7ca7e5ad65aa5d6998a906cd27b97e64602e68ed3ec31a7c,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,5186,8,101,946685112,946685116,428,102,txs.log UpdateTx
da7b8c81bcf69682226db461019b30d21e4476a936ed3b5482192f8423d9f535,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,4278,9,113,946685151,946685154,415,115,txs.log UpdateTx
b073d4b75a58c9ddd3dfd38e118193ad3d622656b7cb52d8d55dcce410526bc9,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1209,9,113,946685151,946685154,415,115,txs.log UpdateTx
cf3409f4ed9022b67677273386d6293919eefc79ac630d05fdb0ece75c365da2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1323,9,114,946685151,946685154,415,115,txs.log UpdateTx
bef4f5795a59b3910e6e19e9225585dd36d50fa4df7a97622dc616762c2e7b49,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,21453,10,125,946685187,946685189,404,126,txs.log UpdateTx
