experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,n_clusters,n_published,gini_w_published,gini_input_W_k_raw,gini_input_c_i_sum,gini_delta_published_minus_input,entropy_norm_w_published,entropy_norm_input_W_k_raw,HHI_w_published,dominant_host,dominant_share,n_recompute_match,n_recompute_mismatch,n_hosts_verification_ok_log,n_hosts_verification_failed_log,gini_note
run4-tbt-3s,nazionale,1,3,none,true,1,3,0,,0.0,0.0,,,0.0,,,,0,0,1,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,2,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,3,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,4,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,5,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,6,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333,m1,0.33333333,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,7,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,8,3,3,0.29555418,0.29552416,0.22673871,3.002e-05,0.85694786,0.85697867,0.44298327,m1,0.59854708,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,9,3,3,0.30044053,0.30051154,0.0,-7.101e-05,0.83491637,0.83486213,0.46388752,m1,0.62819383,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,10,3,3,0.34694613,0.34695954,0.19597216,-1.341e-05,0.80179272,0.80177696,0.48414553,m1,0.64419554,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,11,3,3,0.37357987,0.37358457,0.27644556,-4.71e-06,0.77053441,0.77052829,0.5039388,m1,0.66112481,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,12,3,3,0.3408505,0.34084362,0.24186402,6.88e-06,0.81143155,0.81143946,0.4730913,m1,0.62782247,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,13,3,1,,0.37432061,0.21980732,,,0.7687111,,m1,1.0,1,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,14,3,2,0.2892207,0.4476093,0.28443259,-0.1583886,0.74296971,0.65936773,0.66729723,m2,0.7892207,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,15,3,3,0.32729689,0.32729337,0.25646468,3.53e-06,0.82671153,0.82671599,0.45774364,m1,0.60429013,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run4-tbt-3s,nazionale,1,3,none,true,16,3,2,0.24182231,0.35398877,0.19190914,-0.11216645,0.82398401,0.79282719,0.61695606,m1,0.74182231,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
