host,height,besthash,hash_at_reference,peers,balance_gas
admin,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,999365.1471
m1,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,6.9864
m2,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,20.815
m3,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,48.8798
c1,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,89.2398
c2,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,92.7764
c3,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,94.5178
c4,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,95.5786
c5,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,96.4186
ca,531,000273ba9196b2f265519288705081a5784f7ccb075f3d99e53bbb0604524fc1,00758573f493cf64d7f3245cc8bcbc5ee06861833a0626c04f4c274fdd77f732,9,49.3568
