experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,regionale,1,3,none,true,14,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.75437065,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,14,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.71874646,0,1,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,14,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.39789527,1.03562419,11,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,15,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.88788737,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,15,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.76428728,0,1,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,15,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2.39789527,1.1236001,11,1,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,16,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.60943791,-1.83966329,1,5,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,16,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-1.79175947,-0.69562704,1,6,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,16,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.18232156,1.14403625,5,6,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,17,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.96610008,0,9,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,17,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.91672278,0,3,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,17,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.09861229,1.0493773,9,3,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,18,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-0.51082562,-2.08993836,3,5,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,18,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.28768207,-1.07575783,3,4,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,18,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.22314355,1.01418053,5,4,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,19,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.89280787,0,6,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,19,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.85047745,0,6,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,19,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.0,1.04233042,6,6,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,20,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-2.19722458,-1.8343546,1,9,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,20,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.69314718,-0.69484577,1,2,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,20,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1.5040774,1.13950883,9,2,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,21,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-1.92138123,0,12,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,21,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-0.92756149,0,0,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,21,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,0.99381974,12,0,12,not computable: a zero count in the epoch,m1,m2
run4-tbt-3s,regionale,1,3,none,true,22,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,,-2.05339732,0,8,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,regionale,1,3,none,true,22,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,,-1.02549074,0,4,12,not computable: a zero count in the epoch,m3,m2
run4-tbt-3s,regionale,1,3,none,true,22,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.69314718,1.02790658,8,4,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,23,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.25276297,-1.90482754,2,7,12,,m3,m1
run4-tbt-3s,regionale,1,3,none,true,23,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,-0.40546511,-0.75114691,2,3,12,,m3,m2
run4-tbt-3s,regionale,1,3,none,true,23,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0.84729786,1.15368063,7,3,12,,m1,m2
run4-tbt-3s,regionale,1,3,none,true,24,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,-1.38629436,-1.73874792,2,8,12,,m3,m1
