experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,n_clusters,n_published,gini_w_published,gini_input_W_k_raw,gini_input_c_i_sum,gini_delta_published_minus_input,entropy_norm_w_published,entropy_norm_input_W_k_raw,HHI_w_published,dominant_host,dominant_share,n_recompute_match,n_recompute_mismatch,n_hosts_verification_ok_log,n_hosts_verification_failed_log,gini_note
run5-tbt-2s,continentale,1,2,none,true,1,3,0,,0.0,0.0,,,0.0,,,,0,0,1,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,2,3,0,,0.0,0.0,,,0.0,,,,0,0,1,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,3,3,0,,0.0,0.0,,,0.0,,,,0,0,2,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,4,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,5,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,6,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,7,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,8,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,9,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333,m3,0.33333333,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,10,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,11,3,3,0.29555418,0.29552416,0.22673871,3.002e-05,0.85694786,0.85697867,0.44298327,m1,0.59854708,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,12,3,3,0.30044053,0.30051154,0.0,-7.101e-05,0.83491637,0.83486213,0.46388752,m1,0.62819383,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,13,3,0,,0.30051154,0.0,,,0.83486213,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,14,3,3,0.37579003,0.37579131,0.17924034,-1.28e-06,0.76349082,0.76349381,0.51462206,m1,0.67630184,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,15,3,3,0.34677805,0.34677891,0.25880918,-8.6e-07,0.80310853,0.80310852,0.48191478,m1,0.64048872,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,16,3,2,0.20142391,0.34039479,0.30786529,-0.13897089,0.87954336,0.81219006,0.58114318,m1,0.70142391,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,17,3,3,0.4149308,0.41493598,0.19357863,-5.17e-06,0.71109791,0.71109049,0.54969338,m1,0.70600166,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,18,3,3,0.37357987,0.37358457,0.27644556,-4.71e-06,0.77053441,0.77052829,0.5039388,m1,0.66112481,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,19,3,3,0.3250908,0.32508096,0.15250916,9.83e-06,0.82377982,0.82379047,0.4695456,m1,0.63087563,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,20,3,3,0.37357987,0.37358457,0.27644556,-4.71e-06,0.77053441,0.77052829,0.5039388,m1,0.66112481,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,21,3,1,,0.38826858,0.23212572,,,0.74715456,,m2,1.0,1,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,22,3,3,0.33283325,0.33284021,0.30786529,-6.97e-06,0.81108379,0.81107507,0.45802756,m1,0.58634971,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,23,3,2,0.33884653,0.34695954,0.19597216,-0.00811301,0.63706189,0.80177696,0.72963394,m1,0.83884653,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,24,3,2,0.11289368,0.40544889,0.23212572,-0.29255521,0.96290674,0.71346131,0.52548996,m2,0.61289368,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,25,3,2,0.14229336,0.28427269,0.30786529,-0.14197933,0.94076305,0.86974114,0.5404948,m1,0.64229336,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,26,3,2,0.38045062,0.3851284,0.19597216,-0.00467778,0.52806419,0.7553804,0.78948535,m1,0.88045062,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,27,3,2,0.11289368,0.40544889,0.23212572,-0.29255521,0.96290674,0.71346131,0.52548996,m2,0.61289368,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,28,3,2,0.14229336,0.28427269,0.30786529,-0.14197933,0.94076305,0.86974114,0.5404948,m1,0.64229336,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,29,3,3,0.42470528,0.42471009,0.22788626,-4.81e-06,0.69710174,0.69709417,0.55481694,m1,0.70748334,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,30,3,3,0.31178961,0.31178325,0.21614938,6.35e-06,0.8429508,0.84295674,0.45131052,m1,0.60506316,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,31,3,3,0.38826701,0.38826858,0.23212572,-1.57e-06,0.74715529,0.74715456,0.52642836,m1,0.68711666,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,32,3,2,0.20142391,0.34039479,0.30786529,-0.13897089,0.87954336,0.81219006,0.58114318,m1,0.70142391,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,33,3,3,0.43074343,0.43074534,0.23212572,-1.91e-06,0.68744812,0.68744519,0.56252361,m1,0.7147831,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,34,3,3,0.34787906,0.34787987,0.25409306,-8.1e-07,0.80150964,0.8015098,0.48346618,m1,0.64252224,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run5-tbt-2s,continentale,1,2,none,true,35,3,3,0.36024464,0.36023463,0.14573965,1.001e-05,0.77928736,0.77929971,0.50495362,m1,0.66886467,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
