experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run5-tbt-2s,continentale,1,2,none,true,18,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.88234757,0,5,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,18,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.88053226,0,7,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,18,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.33647224,-0.9981847,5,7,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,19,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.89431462,0,0,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,19,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-2.02465575,0,12,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,19,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.13034113,0,12,12,not computable: a zero count in the epoch,m2,m1
run5-tbt-2s,continentale,1,2,none,true,20,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.71129916,1,0,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,20,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-2.39789527,-1.73437273,1,11,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,20,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.02307357,0,11,12,not computable: a zero count in the epoch,m2,m1
run5-tbt-2s,continentale,1,2,none,true,21,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.57750155,0,0,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,21,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.60254862,0,12,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,21,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.02504707,0,12,12,not computable: a zero count in the epoch,m2,m1
run5-tbt-2s,continentale,1,2,none,true,22,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.79000527,0,5,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,22,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.88125583,0,7,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,22,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.33647224,-1.09125057,5,7,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,23,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.95634977,0,4,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,23,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.89093972,0,8,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,23,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.69314718,-0.93458995,4,8,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,24,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,-1.60943791,-1.0314179,1,5,12,,m3,m2
run5-tbt-2s,continentale,1,2,none,true,24,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-1.79175947,-1.78556695,1,6,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,24,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.18232156,-0.75414905,5,6,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,25,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.566454,0,11,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,25,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.74573646,0,1,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,25,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,2.39789527,-1.17928246,11,1,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,26,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.66457185,0,4,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,26,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.70306593,0,8,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,26,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.69314718,-1.03849408,4,8,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,27,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.89971258,0,0,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,27,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.66288377,0,12,12,not computable: a zero count in the epoch,m3,m1
run5-tbt-2s,continentale,1,2,none,true,27,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-0.76317119,0,12,12,not computable: a zero count in the epoch,m2,m1
run5-tbt-2s,continentale,1,2,none,true,28,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,0.69314718,-0.76918929,2,1,12,,m3,m2
run5-tbt-2s,continentale,1,2,none,true,28,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-1.5040774,-1.94495837,2,9,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,28,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-2.19722458,-1.17576908,1,9,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,29,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,,-0.66457185,5,0,12,not computable: a zero count in the epoch,m3,m2
run5-tbt-2s,continentale,1,2,none,true,29,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.33647224,-1.70306593,5,7,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,29,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,,-1.03849408,0,7,12,not computable: a zero count in the epoch,m2,m1
run5-tbt-2s,continentale,1,2,none,true,30,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,-1.09861229,-0.94858513,1,3,12,,m3,m2
run5-tbt-2s,continentale,1,2,none,true,30,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-2.07944154,-1.76634202,1,8,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,30,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.98082925,-0.81775689,3,8,12,,m2,m1
run5-tbt-2s,continentale,1,2,none,true,31,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,-1.38629436,-0.9251213,1,4,12,,m3,m2
run5-tbt-2s,continentale,1,2,none,true,31,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-1.94591015,-1.98242263,1,7,12,,m3,m1
run5-tbt-2s,continentale,1,2,none,true,31,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,-0.55961579,-1.05730133,4,7,12,,m2,m1
