host_a,host_b,one_way_ms,rtt_ms,hops
m1,m2,4.127,8.254,1
m1,m3,45.75,91.5,1
m1,c1,2.529,5.058,1
m1,c2,3.713,7.426,1
m1,c3,7.671,15.342,2
m1,c4,11.358,22.716,2
m1,admin,8.472,16.944,2
m1,ca,9.591,19.182,2
m1,c5,50.603,101.206,2
m2,m3,43.919,87.838,1
m2,c1,6.656,13.312,2
m2,c2,7.84,15.68,2
m2,c3,3.544,7.088,1
m2,c4,7.231,14.462,1
m2,admin,4.345,8.69,1
m2,ca,5.464,10.928,1
m2,c5,48.772,97.544,2
m3,c1,48.279,96.558,2
m3,c2,49.463,98.926,2
m3,c3,47.463,94.926,2
m3,c4,51.15,102.3,2
m3,admin,48.264,96.528,2
m3,ca,49.383,98.766,2
m3,c5,4.853,9.706,1
c1,c2,6.242,12.484,2
c1,c3,10.2,20.4,3
c1,c4,13.887,27.774,3
c1,admin,11.001,22.002,3
c1,ca,12.12,24.24,3
c1,c5,53.132,106.264,3
c2,c3,11.384,22.768,3
c2,c4,15.071,30.142,3
c2,admin,12.185,24.37,3
c2,ca,13.304,26.608,3
c2,c5,54.316,108.632,3
c3,c4,10.775,21.55,2
c3,admin,7.889,15.778,2
c3,ca,9.008,18.016,2
c3,c5,52.316,104.632,3
c4,admin,11.576,23.152,2
c4,ca,12.695,25.39,2
c4,c5,56.003,112.006,3
admin,ca,9.809,19.618,2
admin,c5,53.117,106.234,3
ca,c5,54.236,108.472,3
