experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run5-tbt-2s,intercontinentale,1,2,none,true,17,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,3,0,0.0,,0,3
run5-tbt-2s,intercontinentale,1,2,none,true,17,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,17,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,18,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,11,0,0.0,,1,12
run5-tbt-2s,intercontinentale,1,2,none,true,18,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,18,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,19,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,11,0,0.0,,1,12
run5-tbt-2s,intercontinentale,1,2,none,true,19,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,19,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,1,1,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,20,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,3,0.42857143,,4,8
run5-tbt-2s,intercontinentale,1,2,none,true,20,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,20,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,2,0.66666667,,3,4
run5-tbt-2s,intercontinentale,1,2,none,true,21,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,6,0,0.0,,6,12
run5-tbt-2s,intercontinentale,1,2,none,true,21,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,3,3,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,21,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,3,1.0,,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,22,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,9,0,0.0,,2,11
run5-tbt-2s,intercontinentale,1,2,none,true,22,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run5-tbt-2s,intercontinentale,1,2,none,true,22,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,3,2,0.66666667,,0,1
run5-tbt-2s,intercontinentale,1,2,none,true,23,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,7,2,0.28571429,,1,6
run5-tbt-2s,intercontinentale,1,2,none,true,23,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,3,0,0.0,,1,4
run5-tbt-2s,intercontinentale,1,2,none,true,23,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,2,1,0.5,,1,2
run5-tbt-2s,intercontinentale,1,2,none,true,24,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,8,0,0.0,,4,12
run5-tbt-2s,intercontinentale,1,2,none,true,24,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,2,2,1.0,,0,0
