height,signer_address,signer_host,score,delay_floor_s,ntime,parent_ntime,n_hosts_seen,hosts_seen,n_lines,first_log_timestamp,first_source_file,first_source_line
200,1VTJbaQB66KoiL8iWQrPES7Ub7ZDzy3XFu8DwG,m3,9.9862282e-05,2,946685226,946685221,4,admin m1 m2 m3,13,2000-01-01 00:07:06,run/data/admin/debug.log,899
200,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,4.9631718e-05,2,946685226,946685221,4,admin m1 m2 m3,11,2000-01-01 00:07:06,run/data/admin/debug.log,910
200,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.91672621e-05,2,946685226,946685221,4,admin m1 m2 m3,12,2000-01-01 00:07:06,run/data/admin/debug.log,926
201,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,2.60174329e-05,2,946685229,946685226,4,admin m1 m2 m3,14,2000-01-01 00:07:10,run/data/admin/debug.log,950
201,1VTJbaQB66KoiL8iWQrPES7Ub7ZDzy3XFu8DwG,m3,0.000165738341,2,946685229,946685226,4,admin m1 m2 m3,12,2000-01-01 00:07:10,run/data/admin/debug.log,965
201,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,0.00013262685,2,946685229,946685226,4,admin m1 m2 m3,10,2000-01-01 00:07:10,run/data/admin/debug.log,981
202,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,5.3279501e-06,1,946685231,946685229,4,admin m1 m2 m3,8,2000-01-01 00:07:12,run/data/admin/debug.log,1007
203,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.81845333e-05,2,946685235,946685231,4,admin m1 m2 m3,8,2000-01-01 00:07:15,run/data/admin/debug.log,1021
204,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.07943431e-05,1,946685237,946685235,4,admin m1 m2 m3,8,2000-01-01 00:07:17,run/data/admin/debug.log,1035
205,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,3.62331017e-05,2,946685240,946685237,4,admin m1 m2 m3,8,2000-01-01 00:07:21,run/data/admin/debug.log,1049
206,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,2.21602124e-05,2,946685244,946685240,4,admin m1 m2 m3,8,2000-01-01 00:07:24,run/data/admin/debug.log,1063
207,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.35128374e-05,1,946685246,946685244,4,admin m1 m2 m3,11,2000-01-01 00:07:26,run/data/admin/debug.log,1077
207,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,1.4808867e-06,0,946685246,946685244,4,admin m1 m2 m3,9,2000-01-01 00:07:26,run/data/admin/debug.log,1088
208,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,3.26263862e-05,2,946685249,946685246,4,admin m1 m2 m3,11,2000-01-01 00:07:29,run/data/admin/debug.log,1107
208,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,2.09955393e-05,2,946685249,946685246,4,admin m1 m2 m3,9,2000-01-01 00:07:29,run/data/admin/debug.log,1118
209,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,6.16839457e-05,2,946685252,946685249,4,admin m1 m2 m3,11,2000-01-01 00:07:33,run/data/admin/debug.log,1137
209,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,4.96028334e-05,2,946685252,946685249,4,admin m1 m2 m3,9,2000-01-01 00:07:33,run/data/admin/debug.log,1148
210,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,4.94821553e-06,1,946685255,946685252,4,admin m1 m2 m3,10,2000-01-01 00:07:35,run/data/admin/debug.log,1168
210,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,3.21778874e-06,1,946685255,946685252,4,admin m1 m2 m3,10,2000-01-01 00:07:35,run/data/admin/debug.log,1189
211,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,2.03303499e-05,2,946685257,946685255,4,admin m1 m2 m3,8,2000-01-01 00:07:37,run/data/admin/debug.log,1208
212,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,0.000115101136,2,946685260,946685257,4,admin m1 m2 m3,8,2000-01-01 00:07:40,run/data/admin/debug.log,1235
213,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,2.8698508e-05,2,946685263,946685260,4,admin m1 m2 m3,8,2000-01-01 00:07:44,run/data/admin/debug.log,1251
214,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,4.72899851e-06,1,946685266,946685263,4,admin m1 m2 m3,8,2000-01-01 00:07:46,run/data/admin/debug.log,1265
215,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,0.000155481754,2,946685269,946685266,4,admin m1 m2 m3,8,2000-01-01 00:07:49,run/data/admin/debug.log,1279
216,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,6.67313699e-05,2,946685272,946685269,4,admin m1 m2 m3,8,2000-01-01 00:07:53,run/data/admin/debug.log,1293
217,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,0.00013502069,2,946685275,946685272,4,admin m1 m2 m3,8,2000-01-01 00:07:56,run/data/admin/debug.log,1307
218,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.6771831e-05,1,946685278,946685275,4,admin m1 m2 m3,8,2000-01-01 00:07:58,run/data/admin/debug.log,1321
219,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.86487724e-05,2,946685280,946685278,4,admin m1 m2 m3,8,2000-01-01 00:08:00,run/data/admin/debug.log,1338
220,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,7.63404558e-06,1,946685283,946685280,4,admin m1 m2 m3,10,2000-01-01 00:08:04,run/data/admin/debug.log,1352
220,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,4.50403601e-05,2,946685283,946685280,4,admin m1 m2 m3,10,2000-01-01 00:08:04,run/data/admin/debug.log,1363
221,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,4.56988968e-05,2,946685287,946685283,4,admin m1 m2 m3,11,2000-01-01 00:08:07,run/data/admin/debug.log,1382
221,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,0.000261367713,2,946685287,946685283,4,admin m1 m2 m3,9,2000-01-01 00:08:07,run/data/admin/debug.log,1397
222,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,9.76942756e-06,1,946685289,946685287,4,admin m1 m2 m3,10,2000-01-01 00:08:09,run/data/admin/debug.log,1417
222,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,6.73052126e-06,1,946685289,946685287,4,admin m1 m2 m3,10,2000-01-01 00:08:09,run/data/admin/debug.log,1435
223,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,1.65830064e-05,1,946685291,946685289,4,admin m1 m2 m3,10,2000-01-01 00:08:11,run/data/admin/debug.log,1455
223,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.63189019e-05,2,946685291,946685289,4,admin m1 m2 m3,10,2000-01-01 00:08:11,run/data/admin/debug.log,1466
224,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,m2,3.42873616e-05,2,946685294,946685291,4,admin m1 m2 m3,10,2000-01-01 00:08:15,run/data/admin/debug.log,1485
224,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,0.000104047172,2,946685294,946685291,4,admin m1 m2 m3,10,2000-01-01 00:08:15,run/data/admin/debug.log,1496
225,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,m1,1.46245966e-06,1,946685295,946685294,4,admin m1 m2 m3,8,2000-01-01 00:08:16,run/data/admin/debug.log,1515
