height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,005ed98f6e17a205156d93199ee960a5b43e2a51b85de81c2dffd2ddb643f1e0,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684801,1,658,1,1
2,0003da8b257cf72aeccd7f7553e31ec8257b855f8397be5edee16ce81098ba0a,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684802,1,657,1,1
3,004c51f1824d2505a4a3ffc1cdca5bcf081fa890ddfc820004786e012748e74f,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684802,1,656,1,1
4,0038d039dccbf1978f59b349211fa2a884950bd9792c9ef5ea8a01194fb8a3e8,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684804,4,655,1,1
5,00e356feceec96efa0f1aab8df4c97890f60ac7bd98f1452906beb952e5332d1,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684807,1,654,1,1
6,001e145049351c3700aa9f14f79e2598fe5f355cb7d419c6d757e37a11e29b72,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684811,1,653,1,1
7,002a7755c36903e31f163f6cd9b1167d028cc9701f1db7230e8b881b682a9aaf,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684814,1,652,1,1
8,0030de18e01a029bda94423d0d6bdf8962cb83d6f639c1726f8e6c1b9cfcc83f,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684816,1,651,1,1
9,0012042e8fe26f68bab15dcaae112a9f25745a10afd494c246cc07aa9548be90,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684820,1,650,1,1
10,002456e29b02a4fe27f24131842733d2b7fe3015b5dae18d7c225150da2dcae5,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684823,1,649,1,1
11,00cc55e8eb0eb7d1ae4c4e52abfa00966a01863323131ab2222692d23bdccab2,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684826,1,648,1,1
12,00d3af59a48fd745ff729caa59d95f073416286b07625d052341d0bd8a18ae06,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684827,1,647,2,1
13,008d156803e6aee8048a9412e5fc5564bda84587693099da602d21d433a912f3,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684828,1,646,2,1
14,0025ee21c8e309eb65fca5a45b1ec9d03a763e8a813cc0dbb40a095fef5b6130,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684829,1,645,2,1
15,007af79d1bf1a3045b6dda4213ef4258d5e81642326d94ee485bccb7423cdc23,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684831,1,644,2,1
16,00b782ea90743375ede4685a3fedac237ee0e2ef94b2c50463d6349bd7783459,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684833,1,643,2,1
17,00ecac168b2812246ae2087774ec5b2b5bf3802a223e979c3010b0a169fef3a7,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684835,1,642,2,1
18,00184557604a4fc2bda31a7681ebef03ce7d1dde003eb09933c8014f29f721e9,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684838,1,641,2,1
19,00001aac584cd7b66f5b7f84fbfaf2d82074a334c5d0d5f3ada2ab4d83c5ccbd,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684840,1,640,2,1
20,009e3663cc2d0ad62e51b8230e9675954e88a3fa98105232e702a67ac7f668b1,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684842,1,639,2,1
21,00e0152537322ff37e92b4e28e8ccf87443e4875106714199c1f20450483ab88,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684845,1,638,2,1
22,00398f9de6d35bb388e6e6b324c1b672526138e891c157d8ada714227dbc6133,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684847,1,637,2,1
23,00aa3390b88d7683c91ff92b52ce4bb24f41103068cdab89b5be2f3f864e3ecc,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684849,1,636,2,1
24,00399497466785f5f6cbb77d0327efa8518affe692a36cd8526b87d1e96c90e0,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684851,1,635,3,1
25,00b31fcd29643435c9601e4f378ad469c6e3dcf22708f6ed649ce9859bedd3cb,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684854,1,634,3,1
26,0025ae9b62a677fd0e72cbffc9ac88861a12d9001b902fb0301f777369b8f14e,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684856,1,633,3,1
27,005802b97192cb6fa655015679b2601ee9224f4636bee723bff0d0dcbcd3ef51,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684857,1,632,3,1
28,00db2d3e29e3a439a020882a3a0bde9b3d6c7e98ed7efcd0e51baa0f7e781bec,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684858,1,631,3,1
29,00aeacc272aa1727f53e20d2d47c5d1257658eb3f3ad59cb06a7885f07346ee5,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684861,40,630,3,1
30,00b4d049a4ec390796e04b1424c32ff319276c9d908cbcc01ede267ea77cd064,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684864,1,629,3,1
31,00ccf989b3091f66dffa845e48e620b1338016aa7f66023bff768d207335df4e,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684867,1,628,3,1
32,00832de1a19b126310a36a3bbff620c1cded8ac6d74ab736e53889d2d594d062,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,,946684869,1,627,3,1
