host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Modena,44.6471,10.9252
c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,company,m1,17.5,3,Pisa,43.7228,10.4017
c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,company,m1,77.16,4,Siena,43.3188,11.3308
c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,company,m2,99.26,5,La_Spezia,44.1025,9.8241
c4,1Lpw4FLdnt8a8YCbVjgVHcqDVcGjbKEfngWKoX,company,m2,92.76,6,Savona,44.309,8.4772
c5,1ERY6SvADvp4pscwK8av3gMUXwNUnYNGJhEccH,company,m3,70.53,9,Ravenna,44.4184,12.2035
ca,,ca,,,8,Parma,44.8015,10.3279
m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,miner,m1,85.56,0,HUB_TOSCANA_Firenze,43.7696,11.2558
m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,miner,m2,26.46,1,HUB_LIGURIA_Genova,44.4056,8.9463
m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,miner,m3,24.17,2,HUB_EMILIAROMAGNA_Bologna,44.4949,11.3426
