txid,publisher_address,publisher_host,node_address,node_host,weight,epoch_tag,height_payload,timestamp_payload,blocktime,confirmations,confirm_height,confirm_height_source
ace0fb0b2193e488b07b000c4be5e890201be1383eb4f84dbfa63daadc1f2ff6,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1,9,123,946685061,946685063,535,124,txs.log UpdateTx
e950a9a7dc4fb03e7dbea10421cff1ed1d66b20ed37f026536df8473c68eb15f,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1,9,123,946685061,946685063,535,124,txs.log UpdateTx
d3f3cd1dcbb639613cd1ab7a30003cdfe0d139c9958c54a101d539e34011c659,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,1,9,123,946685061,946685063,535,124,txs.log UpdateTx
d5892908437cc8fc8f0f1b9d4a54770a5c6bc854055141c7a274e46c1c8c3402,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,5186,11,137,946685091,946685093,521,138,txs.log UpdateTx
683bf18a74210aec9b51ebd7c99c1ad3e716299e8de55729c97303e75e6227d1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,12606,11,137,946685091,946685093,521,138,txs.log UpdateTx
1e730bd46c3f155beda16d07f9a2696d7fb2a733072da712e2b8046c17865fee,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,3269,11,137,946685091,946685093,521,138,txs.log UpdateTx
f70e9d0459977353bd9e71065e4c5ccf082f6c7ed47b1e025bb7494781c76e33,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,4278,12,150,946685118,946685119,508,151,txs.log UpdateTx
b79bdadee8685eb2ae8a2039f0a818357a114b256aae26ca02ebd9dfd3552b1e,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,1209,12,150,946685118,946685119,508,151,txs.log UpdateTx
2975c78502407457a44a62ca28646f95d1841d8412b2d0c5261c1021f60f7b06,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1323,12,150,946685118,946685119,508,151,txs.log UpdateTx
89f0d0e0271aadc1af9409201196cb57d5993428003d8c8b2557eedb08ed39c9,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,12377,14,173,946685166,946685168,485,174,txs.log UpdateTx
