experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,height,epoch,epoch_buried,n_candidates_logged,n_candidates_with_weight,all_candidates_logged,winner_observed_host,winner_observed_address,winner_observed_logged_score,winner_theoretical_argmin_delay_host,winner_theoretical_argmin_score_host,argmin_delay_equals_argmin_score,winner_matches_theoretical_argmin,inversion,observed_winner_rank_by_delay,delay_min_s,delay_winner_s,margin_G_logged_s,margin_G_recomputed_s,inversion_gap_s,score_min,score_gap_2_1,W_tot_effective,W_tot_minus_argmin_weff,weff_argmin_score,p_observed_winner,phi_s,phi_identical_across_nodes,block_time,parent_time,dt_prev_s,scheduler_residual_s,verify_delay_floor_s,time_bar_slack_s,time_bar_ok,verify_parent_matches_chain,fork_detected,n_competing_blocks,competing_hashes,n_rejects,txcount,streak_length_so_far,winner_repeats_previous,n_candidates_delay_recompute_mismatch
run5-tbt-2s,1,regionale,2,none,true,12,201,17,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,2.425,2.425,0.072,0.0712,0.0,2.47001801e-05,2.6925750999999985e-06,54174.0,19366.0,34808.0,0.642522,-0.25,1,946685227,946685224,3,0.575,2,1,1,1,1,1,004abee878730953c9b1ab774f6958c435304ca3e97f784cd8a0e748e0be3459,0,2,1,,0
run5-tbt-2s,1,regionale,2,none,true,12,202,17,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,2.451,2.451,0.474,0.4739,0.0,2.62705383e-05,7.57533797e-05,54174.0,19366.0,34808.0,0.642522,-0.333,1,946685230,946685227,3,0.549,2,1,1,1,1,1,00d89c7ece2c33ec9629445e53ad837e0f36a17b8a9a730c85e3e1137f3ca587,0,2,2,1,0
run5-tbt-2s,1,regionale,2,none,true,12,203,17,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m2,m2,1,0,1,2,1.44,2.684,1.244,1.2444,1.244,5.59686454e-06,3.412830256e-05,54174.0,41347.0,12827.0,0.642522,-0.417,1,946685234,946685230,4,1.316,2,2,1,1,1,2,000eea65e73c9d47dc5de39798f0ba2ed57b61e407a379573b4d7c31f17de027 006703965ffff8c51e90501a42bf112bf17a8805acce6567ed9d67eb2d9e7952,0,3,3,1,0
run5-tbt-2s,1,regionale,2,none,true,12,204,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,1.153,1.153,1.717,1.7168,0.0,2.49628003e-06,7.492180987e-05,54174.0,19366.0,34808.0,0.642522,-0.5,1,946685236,946685234,2,0.847,1,1,1,1,0,0,,0,1,4,1,0
run5-tbt-2s,1,regionale,2,none,true,12,205,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,2.329,2.329,0.547,0.547,0.0,2.36943952e-05,8.04750578e-05,54174.0,19366.0,34808.0,0.642522,-0.583,1,946685239,946685236,3,0.671,2,1,1,1,0,0,,0,4,5,1,0
run5-tbt-2s,1,regionale,2,none,true,12,206,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,2.586,2.586,0.012,0.0122,0.0,3.62484787e-05,8.204622000000027e-07,54174.0,19366.0,34808.0,0.642522,-0.667,1,946685242,946685239,3,0.414,2,1,1,1,0,0,,0,6,6,1,0
run5-tbt-2s,1,regionale,2,none,true,12,207,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,1.93,1.93,0.895,0.8951,0.0,1.4326867e-05,6.631014109999999e-05,54174.0,19366.0,34808.0,0.642522,-0.75,1,946685245,946685242,3,1.07,1,2,1,1,0,0,,0,2,7,1,0
run5-tbt-2s,1,regionale,2,none,true,12,208,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,2.352,2.352,0.358,0.3579,0.0,2.63092367e-05,2.5168997900000002e-05,54174.0,19366.0,34808.0,0.642522,-0.833,1,946685248,946685245,3,0.648,2,1,1,1,0,0,,0,2,8,1,0
run5-tbt-2s,1,regionale,2,none,true,12,209,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m1,m1,1,1,0,1,1.364,1.364,1.457,1.4565,0.0,5.69243105e-06,8.761970535e-05,54174.0,19366.0,34808.0,0.642522,-0.833,1,946685250,946685248,2,0.636,1,1,1,1,0,0,,0,1,9,1,0
run5-tbt-2s,1,regionale,2,none,true,12,210,18,1,3,3,1,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,1,m2,m2,1,0,1,2,1.891,2.042,0.151,0.1517,0.151,1.38861243e-05,3.2397064000000017e-06,54174.0,41347.0,12827.0,0.642522,-0.833,1,946685252,946685250,2,-0.042,2,0,1,1,0,0,,0,3,10,1,0
