experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run5-tbt-2s,regionale,1,2,none,true,17,m1,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,17,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,18,m1,10,0.26787711,0.39857427,1.13483669,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,18,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,18,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,19,m1,6,0.1738882,0.97695425,1.15242003,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,19,m2,5,0.28686126,0.71515172,0.87896165,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,19,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,20,m1,6,0.24976423,0.77043757,1.33874045,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,20,m2,6,0.22963435,0.84664479,1.01118143,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,21,m1,10,0.3168022,0.21657849,1.66736855,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,21,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,21,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,22,m1,6,0.33087415,0.43218838,1.1794178,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,22,m2,5,0.43884037,0.21674339,1.86622195,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,22,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,23,m1,6,0.24469402,0.79067538,0.76284481,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,23,m2,3,0.69047469,0.05930871,1.99251376,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,23,m3,3,0.3195101,0.82861154,1.04806859,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,24,m2,3,0.28870831,0.91275002,0.70150904,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,24,m1,9,0.26317245,0.48264301,1.0150311,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,25,m1,11,0.32747955,0.14966924,1.59414456,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,25,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,26,m1,10,0.16339361,0.91444618,0.74359016,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,26,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,27,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,27,m1,7,0.50142944,0.03750859,1.95886575,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,27,m3,3,0.33157565,0.78473461,0.76161741,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,28,m1,6,0.23049014,0.84365953,0.74987029,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,28,m3,4,0.25014143,0.90593158,0.83189657,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,28,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,29,m1,7,0.22749439,0.7901841,0.74312884,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,29,m2,4,0.19349123,0.99154972,0.85523946,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,29,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,30,m1,10,0.22167973,0.63346616,0.95855184,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,30,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,30,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,31,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,31,m1,9,0.20582265,0.76995016,0.79994179,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,31,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,32,m1,6,0.36575649,0.31716089,0.47510888,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,32,m3,3,0.31717533,0.83634633,1.0069258,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,32,m2,3,0.40337243,0.58531881,1.88466653,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,33,m3,3,0.30212728,0.88068904,1.26328784,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,33,m1,5,0.72459809,0.0034028,1.63593547,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,33,m2,4,0.38717478,0.47892902,2.1119605,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,34,m1,8,0.50495352,0.0206049,1.90713034,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,34,m2,3,0.36588889,0.68925727,1.48264403,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,34,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,35,m1,12,0.18866622,0.72016636,0.72388417,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,36,m2,3,0.45286048,0.45095709,0.73435383,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,36,m1,8,0.19255025,0.87735846,1.0666511,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,36,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,37,m1,10,0.34617975,0.14194762,1.40494259,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,37,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,38,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run5-tbt-2s,regionale,1,2,none,true,38,m1,7,0.28898047,0.51177199,0.64580656,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run5-tbt-2s,regionale,1,2,none,true,38,m3,3,0.27468742,0.93949897,0.88110332,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
