height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,00ed7a1435ce44df000f224afce394080c08838700194f17e1bc14c90d09ebda,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684801,1,597,1,1
2,004be07bdedd5ca0cd5d2699789c691b9b2dc4a4ff75fdcd97d7438c982853ce,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684802,1,596,1,1
3,00fcd9809e36f2c0ec3608f3c4395d70c6bafc3e9bd3ac3709019a92ccf6dc51,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684811,4,595,1,1
4,00f477cbbc1dcef3f7d62f94ed2da72c0fa755401e485222f87796c22bcadef2,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684821,1,594,1,1
5,00fd35ac575315ed7e8af77dc75e045d5e9a0bac5512b7071617e9171ab760dc,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684835,1,593,1,1
6,004b005f2a1acf917ccc5b2e6b73956e5478e16eefb33b1aaa6d5996bc94ab3d,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684850,1,592,1,1
7,004493323c183090c8c563d24926fcaf0f04dd85e552ef97e8909db815deae1e,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684862,40,591,1,1
8,00d79b40020b3a78cdfc0521e38671c09f28d20fa73e125f9a6afdbe2ff81d3a,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684876,1,590,1,1
9,008f36f8e0e67b06d15e0bda985a12ba7854374ccafa41e2897292572ddde2f5,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684888,1,589,1,1
10,002bd8db594c6c5480259b5ff24a25a275e1678e33bd80c787b18a44d263fe9a,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684901,1,588,1,1
11,00d09acc94d24efd9ac0945601679aca6f453dfc9369816326221e579c546b10,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684911,1,587,1,1
12,00e16feafba2056512832b4ea2e363c1b3ab6d7f7db75f303010db1cbc855e17,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684920,1,586,1,1
13,001ef9d5ed1fb705a041262324bf55011eecb41b36d5f5cd1496fd30f03fb844,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684922,1,585,1,1
14,005ec3a1ab8bc3c17c3568bd6834f2c99f7bb6a7b9c225bd453e2ef9e05b1ff8,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684930,1,584,1,1
15,00b072f86fea88ea329cb5a7f258d6b2b7b372c3b4687b7e63c4a36ceccc509a,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684939,1,583,1,1
16,00a858815c70c0d3e7b895290a5db0ddfaadddfd995b2c4ba6e913c59de14673,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684955,1,582,1,1
17,00dc791b57016b6c849a0d3472868fd8e8887ac726c482a48aa169d96332f679,1LrtQrGPKBz6SzittjRSfx3eKcrbtjgjNevGWS,,946684963,1,581,1,1
