height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
152,2,1,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.75404169e-06,12.397,12.397,2000-01-01 00:25:13,0,run/data/m1/debug.log,638
152,2,1,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.94069633e-06,13.974,13.974,2000-01-01 00:25:12,0,run/data/m2/debug.log,617
152,2,1,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.13143026e-05,15.065,15.065,2000-01-01 00:25:13,0,run/data/m3/debug.log,617
153,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.13317382e-05,15.015,15.015,2000-01-01 00:25:26,0,run/data/m1/debug.log,1248
153,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,9.97790104e-06,15.011,15.011,2000-01-01 00:25:26,0,run/data/m2/debug.log,644
153,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,2.18466471e-05,15.017,15.017,2000-01-01 00:25:27,0,run/data/m3/debug.log,648
154,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,3.08974638e-07,6.909,6.909,2000-01-01 00:25:41,0,run/data/m1/debug.log,1685
154,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,1.65279531e-06,11.952,11.952,2000-01-01 00:25:41,0,run/data/m2/debug.log,912
154,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.73735415e-06,14.551,14.551,2000-01-01 00:25:43,0,run/data/m3/debug.log,679
155,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,5.84880562e-07,8.462,8.462,2000-01-01 00:25:49,0,run/data/m1/debug.log,1932
155,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,4.89428706e-06,14.649,14.649,2000-01-01 00:25:50,0,run/data/m2/debug.log,950
