height,signer_address,signer_host,score,delay_floor_s,ntime,parent_ntime,n_hosts_seen,hosts_seen,n_lines,first_log_timestamp,first_source_file,first_source_line
152,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,2.94069633e-06,13,946686326,946686312,4,admin m1 m2 m3,10,2000-01-01 00:25:26,run/data/admin/debug.log,705
152,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,1.75404169e-06,12,946686326,946686312,4,admin m1 m2 m3,10,2000-01-01 00:25:26,run/data/admin/debug.log,716
153,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,9.97790104e-06,15,946686341,946686326,4,admin m1 m2 m3,10,2000-01-01 00:25:42,run/data/admin/debug.log,735
153,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,1.13317382e-05,15,946686341,946686326,4,admin m1 m2 m3,10,2000-01-01 00:25:42,run/data/admin/debug.log,746
154,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,3.08974638e-07,6,946686349,946686341,4,admin m1 m2 m3,8,2000-01-01 00:25:50,run/data/admin/debug.log,765
155,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,5.84880562e-07,8,946686358,946686349,4,admin m1 m2 m3,8,2000-01-01 00:25:58,run/data/admin/debug.log,786
156,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,1.02036626e-06,10,946686369,946686358,4,admin m1 m2 m3,8,2000-01-01 00:26:09,run/data/admin/debug.log,803
157,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,1.27670377e-06,11,946686381,946686369,4,admin m1 m2 m3,8,2000-01-01 00:26:21,run/data/admin/debug.log,817
158,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,1.21884388e-06,10,946686392,946686381,4,admin m1 m2 m3,11,2000-01-01 00:26:32,run/data/admin/debug.log,831
158,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,7.03448998e-07,8,946686392,946686381,4,admin m1 m2 m3,9,2000-01-01 00:26:33,run/data/admin/debug.log,842
