experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run6-tbt-10s,continentale,1,10,none,true,2,m2,14,0.19199503,0.61361776,1.18421489,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,2,m1,32,0.10538713,0.83304883,1.03073179,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,2,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run6-tbt-10s,continentale,1,10,none,true,3,m1,66,0.11892983,0.28487502,0.91946363,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,3,m2,26,0.1627775,0.44907735,0.99685909,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,3,m3,8,0.5022392,0.02167371,0.39100088,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,4,m2,21,0.1020101,0.96532918,0.84029645,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,4,m3,9,0.25062616,0.54380092,0.94625603,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,4,m1,70,0.10958467,0.34459551,0.97753521,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,5,m3,6,0.47748095,0.08848657,1.26545721,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,5,m1,61,0.07896333,0.81258779,1.08572887,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,5,m2,33,0.11620759,0.72108817,1.03643186,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,6,m1,74,0.09004597,0.55537372,1.01507871,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,6,m3,6,0.28152538,0.63510888,0.75169095,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,6,m2,18,0.14956736,0.76189622,0.83258781,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,all,m2,112,0.04352459,0.97766019,0.97618216,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,all,m1,303,0.03270494,0.89140202,1.00145468,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run6-tbt-10s,continentale,1,10,none,true,all,m3,30,0.21729282,0.10072877,0.8036343,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
