height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,00ac4c727b7899e4e297a595e449695d10345beabd8f04197995dad98d75438e,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684801,1,602,1,1
2,0023da639187be8dc4efed15fef2c5ca5e08aa4d534541659b24efbb2934866f,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684802,1,601,1,1
3,007beebe6f585962424d4678058d2d8bfd05e8f859518504e245a2f3747536fd,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684811,4,600,1,1
4,009d3aa24f077d9404a415a862150d4fd5157b5fa1225d9c1482675e13fdd72d,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684821,1,599,1,1
5,00836cb410295de55d672b8cc7b9c4211ef0c3e03b439956da077a717c131db7,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684835,1,598,1,1
6,001d3d8219dbf284c4e2660aa54a21f63bb38002c0a679e2b3fec815698de331,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684850,1,597,1,1
7,00902ce9d8ebd16ce6e697bee580ac5327373a4ba24d8e49942c4fdb2d635848,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684862,40,596,1,1
8,008aa4e73736db7b7c249b97585dc56e9d4eab9763c445a9eb875f311f65d9db,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684876,1,595,1,1
9,00274edf71a18e696ada8fe076179e1a2d36aae1cf7a28911db4098ae09947a9,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684888,1,594,1,1
10,0095863134aeca785d0f602a852e7beef6f132f3928f9eaa420f412a7aeee139,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684901,1,593,1,1
11,0000f06a6598f48fa798f8499df9eeb30ac69c081e2121a2da56c34ef0afcfcb,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684911,1,592,1,1
12,00846c63ad68754bcd04062fcdba3d9481f81e1d53f2a7f474eb6bcde82bcb34,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684920,1,591,1,1
13,00f7a56284e08bc723d10a33edd3ebcf5e2433795e2773e98e9a31c3db54d102,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684922,1,590,1,1
14,00934342a125c26fa50a4deed99c9969004b66c6a3e5acd1ee5cf4264bbf88ca,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684930,1,589,1,1
15,002b99a28183d49d2e4dc7cbc6aafddc34d137bba5a3374603b9eb957399efca,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684939,1,588,1,1
16,00e79930fbcb01fabc816cf5acb5873a1e0b31de1b07a4387157f77522b7619e,1WnfqebDAdm9GTqGfqtt5UMhh7nFTYKaoonfAU,,946684955,1,587,1,1
