tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
151,152,admin,12,10.083,10.000,-0.083,5.000,2000-01-01 00:25:25,2,run/data/admin/debug.log,722
151,152,m1,12,10.083,10.000,-0.083,5.000,2000-01-01 00:25:18,3,run/data/m1/debug.log,629
151,152,m2,12,10.083,10.000,-0.083,5.000,2000-01-01 00:25:18,3,run/data/m2/debug.log,602
151,152,m3,12,10.083,10.000,-0.083,5.000,2000-01-01 00:25:18,3,run/data/m3/debug.log,621
152,153,admin,12,9.667,10.000,+0.333,5.000,2000-01-01 00:25:34,2,run/data/admin/debug.log,736
152,153,m1,12,9.667,10.000,+0.333,5.000,2000-01-01 00:25:25,3,run/data/m1/debug.log,778
152,153,m2,12,9.667,10.000,+0.333,5.000,2000-01-01 00:25:26,3,run/data/m2/debug.log,617
152,153,m3,12,9.667,10.000,+0.333,5.000,2000-01-01 00:25:26,3,run/data/m3/debug.log,636
153,154,admin,12,9.750,10.000,+0.250,5.000,2000-01-01 00:25:45,2,run/data/admin/debug.log,750
153,154,m1,12,9.750,10.000,+0.250,5.000,2000-01-01 00:25:35,3,run/data/m1/debug.log,793
153,154,m2,12,9.750,10.000,+0.250,5.000,2000-01-01 00:25:34,3,run/data/m2/debug.log,914
153,154,m3,12,9.750,10.000,+0.250,5.000,2000-01-01 00:25:34,3,run/data/m3/debug.log,651
154,155,admin,12,10.000,10.000,+0.000,5.000,2000-01-01 00:25:53,2,run/data/admin/debug.log,764
154,155,m1,12,10.000,10.000,+0.000,5.000,2000-01-01 00:25:46,3,run/data/m1/debug.log,808
154,155,m2,12,10.000,10.000,+0.000,5.000,2000-01-01 00:25:45,3,run/data/m2/debug.log,1191
154,155,m3,12,10.000,10.000,+0.000,5.000,2000-01-01 00:25:45,3,run/data/m3/debug.log,666
155,156,admin,12,9.583,10.000,+0.417,5.000,2000-01-01 00:26:05,2,run/data/admin/debug.log,781
155,156,m1,12,9.583,10.000,+0.417,5.000,2000-01-01 00:25:53,3,run/data/m1/debug.log,823
155,156,m2,12,9.583,10.000,+0.417,5.000,2000-01-01 00:25:52,3,run/data/m2/debug.log,1285
155,156,m3,12,9.583,10.000,+0.417,5.000,2000-01-01 00:25:53,3,run/data/m3/debug.log,681
156,157,admin,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:16,2,run/data/admin/debug.log,795
156,157,m1,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:06,3,run/data/m1/debug.log,838
156,157,m2,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:04,3,run/data/m2/debug.log,1304
156,157,m3,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:05,3,run/data/m3/debug.log,696
157,158,admin,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:31,5,run/data/admin/debug.log,809
157,158,m1,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:17,6,run/data/m1/debug.log,853
157,158,m2,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:17,6,run/data/m2/debug.log,1319
157,158,m3,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:15,6,run/data/m3/debug.log,1268
158,159,admin,12,9.833,10.000,+0.167,5.000,2000-01-01 00:26:45,2,run/data/admin/debug.log,839
158,159,m1,12,9.833,10.000,+0.167,5.000,2000-01-01 00:26:31,3,run/data/m1/debug.log,1159
158,159,m2,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:32,3,run/data/m2/debug.log,1353
158,159,m3,12,9.750,10.000,+0.250,5.000,2000-01-01 00:26:30,3,run/data/m3/debug.log,1626
159,160,admin,12,10.667,10.000,-0.667,5.000,2000-01-01 00:26:51,2,run/data/admin/debug.log,857
159,160,m1,12,10.667,10.000,-0.667,5.000,2000-01-01 00:26:44,3,run/data/m1/debug.log,1530
159,160,m2,12,10.667,10.000,-0.667,5.000,2000-01-01 00:26:45,3,run/data/m2/debug.log,1372
159,160,m3,12,10.667,10.000,-0.667,5.000,2000-01-01 00:26:45,3,run/data/m3/debug.log,1661
160,161,admin,12,10.000,10.000,+0.000,5.000,2000-01-01 00:27:03,2,run/data/admin/debug.log,871
160,161,m1,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:52,3,run/data/m1/debug.log,1545
160,161,m2,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:52,3,run/data/m2/debug.log,1387
160,161,m3,12,10.000,10.000,+0.000,5.000,2000-01-01 00:26:50,3,run/data/m3/debug.log,1740
161,162,admin,12,10.417,10.000,-0.417,5.000,2000-01-01 00:27:11,2,run/data/admin/debug.log,885
161,162,m1,12,10.417,10.000,-0.417,5.000,2000-01-01 00:27:03,3,run/data/m1/debug.log,1752
161,162,m2,12,10.417,10.000,-0.417,5.000,2000-01-01 00:27:04,3,run/data/m2/debug.log,1402
161,162,m3,12,10.417,10.000,-0.417,5.000,2000-01-01 00:27:03,3,run/data/m3/debug.log,1755
162,163,admin,12,10.333,10.000,-0.333,5.000,2000-01-01 00:27:24,2,run/data/admin/debug.log,899
162,163,m1,12,10.333,10.000,-0.333,5.000,2000-01-01 00:27:10,3,run/data/m1/debug.log,2301
162,163,m2,12,10.333,10.000,-0.333,5.000,2000-01-01 00:27:12,3,run/data/m2/debug.log,1417
162,163,m3,12,10.333,10.000,-0.333,5.000,2000-01-01 00:27:11,3,run/data/m3/debug.log,1770
163,164,admin,12,10.583,10.000,-0.583,5.000,2000-01-01 00:27:37,2,run/data/admin/debug.log,913
163,164,m1,12,10.583,10.000,-0.583,5.000,2000-01-01 00:27:24,3,run/data/m1/debug.log,2400
163,164,m2,12,10.583,10.000,-0.583,5.000,2000-01-01 00:27:25,3,run/data/m2/debug.log,1432
163,164,m3,12,10.583,10.000,-0.583,5.000,2000-01-01 00:27:24,3,run/data/m3/debug.log,1785
164,165,admin,12,11.000,10.000,-1.000,5.000,2000-01-01 00:27:47,2,run/data/admin/debug.log,927
164,165,m1,12,11.000,10.000,-1.000,5.000,2000-01-01 00:27:38,3,run/data/m1/debug.log,2415
164,165,m2,12,11.000,10.000,-1.000,5.000,2000-01-01 00:27:37,3,run/data/m2/debug.log,1463
164,165,m3,12,11.000,10.000,-1.000,5.000,2000-01-01 00:27:38,3,run/data/m3/debug.log,1800
165,166,admin,12,11.083,10.000,-1.083,5.000,2000-01-01 00:27:56,2,run/data/admin/debug.log,941
165,166,m1,12,11.083,10.000,-1.083,5.000,2000-01-01 00:27:47,3,run/data/m1/debug.log,2455
165,166,m2,12,11.083,10.000,-1.083,5.000,2000-01-01 00:27:48,3,run/data/m2/debug.log,1478
165,166,m3,12,11.083,10.000,-1.083,5.000,2000-01-01 00:27:47,3,run/data/m3/debug.log,1815
166,167,admin,12,10.917,10.000,-0.917,5.000,2000-01-01 00:28:10,2,run/data/admin/debug.log,958
166,167,m1,12,10.917,10.000,-0.917,5.000,2000-01-01 00:27:56,3,run/data/m1/debug.log,2561
166,167,m2,12,10.917,10.000,-0.917,5.000,2000-01-01 00:27:57,3,run/data/m2/debug.log,1493
166,167,m3,12,10.917,10.000,-0.917,5.000,2000-01-01 00:27:56,3,run/data/m3/debug.log,1830
167,168,admin,12,11.500,10.000,-1.500,5.000,2000-01-01 00:28:17,2,run/data/admin/debug.log,972
167,168,m1,12,11.500,10.000,-1.500,5.000,2000-01-01 00:28:10,3,run/data/m1/debug.log,2684
167,168,m2,12,11.500,10.000,-1.500,5.000,2000-01-01 00:28:11,3,run/data/m2/debug.log,1508
167,168,m3,12,11.500,10.000,-1.500,5.000,2000-01-01 00:28:11,3,run/data/m3/debug.log,1845
168,169,admin,12,11.000,10.000,-1.000,5.000,2000-01-01 00:28:24,2,run/data/admin/debug.log,986
168,169,m1,12,11.000,10.000,-1.000,5.000,2000-01-01 00:28:18,3,run/data/m1/debug.log,2699
168,169,m2,12,11.000,10.000,-1.000,5.000,2000-01-01 00:28:16,3,run/data/m2/debug.log,1541
168,169,m3,12,11.000,10.000,-1.000,5.000,2000-01-01 00:28:17,3,run/data/m3/debug.log,1860
169,170,admin,12,10.750,10.000,-0.750,5.000,2000-01-01 00:28:36,2,run/data/admin/debug.log,1000
169,170,m1,12,10.750,10.000,-0.750,5.000,2000-01-01 00:28:24,3,run/data/m1/debug.log,2727
169,170,m2,12,10.750,10.000,-0.750,5.000,2000-01-01 00:28:25,3,run/data/m2/debug.log,1556
169,170,m3,12,10.750,10.000,-0.750,5.000,2000-01-01 00:28:25,3,run/data/m3/debug.log,1875
170,171,admin,12,10.333,10.000,-0.333,5.000,2000-01-01 00:28:41,2,run/data/admin/debug.log,1014
170,171,m1,12,10.333,10.000,-0.333,5.000,2000-01-01 00:28:36,3,run/data/m1/debug.log,2745
170,171,m2,12,10.333,10.000,-0.333,5.000,2000-01-01 00:28:35,3,run/data/m2/debug.log,1747
170,171,m3,12,10.333,10.000,-0.333,5.000,2000-01-01 00:28:36,3,run/data/m3/debug.log,1893
171,172,admin,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:48,2,run/data/admin/debug.log,1028
171,172,m1,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:42,3,run/data/m1/debug.log,2760
171,172,m2,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:41,3,run/data/m2/debug.log,1949
171,172,m3,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:41,3,run/data/m3/debug.log,1908
172,173,admin,12,9.750,10.000,+0.250,5.000,2000-01-01 00:29:03,2,run/data/admin/debug.log,1042
172,173,m1,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:48,3,run/data/m1/debug.log,2775
172,173,m2,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:47,3,run/data/m2/debug.log,2042
172,173,m3,12,9.750,10.000,+0.250,5.000,2000-01-01 00:28:48,3,run/data/m3/debug.log,1923
173,174,admin,12,10.000,10.000,+0.000,5.000,2000-01-01 00:29:16,5,run/data/admin/debug.log,1056
173,174,m1,12,10.000,10.000,+0.000,5.000,2000-01-01 00:29:04,6,run/data/m1/debug.log,2790
173,174,m2,12,10.000,10.000,+0.000,5.000,2000-01-01 00:29:03,6,run/data/m2/debug.log,2299
173,174,m3,12,10.000,10.000,+0.000,5.000,2000-01-01 00:29:03,6,run/data/m3/debug.log,1938
174,175,admin,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:30,2,run/data/admin/debug.log,1086
174,175,m1,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:16,3,run/data/m1/debug.log,2866
174,175,m2,12,10.417,10.000,-0.417,5.000,2000-01-01 00:29:17,3,run/data/m2/debug.log,2330
174,175,m3,12,10.417,10.000,-0.417,5.000,2000-01-01 00:29:15,3,run/data/m3/debug.log,2223
175,176,admin,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:44,2,run/data/admin/debug.log,1104
175,176,m1,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:30,3,run/data/m1/debug.log,3339
175,176,m2,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:31,3,run/data/m2/debug.log,2349
175,176,m3,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:31,3,run/data/m3/debug.log,2258
176,177,admin,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:57,2,run/data/admin/debug.log,1118
176,177,m1,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:43,3,run/data/m1/debug.log,3766
176,177,m2,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:44,3,run/data/m2/debug.log,2364
176,177,m3,12,10.500,10.000,-0.500,5.000,2000-01-01 00:29:44,3,run/data/m3/debug.log,2273
177,178,admin,12,10.833,10.000,-0.833,5.000,2000-01-01 00:30:04,2,run/data/admin/debug.log,1135
177,178,m1,12,10.833,10.000,-0.833,5.000,2000-01-01 00:29:57,3,run/data/m1/debug.log,4095
177,178,m2,12,10.833,10.000,-0.833,5.000,2000-01-01 00:29:58,3,run/data/m2/debug.log,2379
177,178,m3,12,10.833,10.000,-0.833,5.000,2000-01-01 00:29:57,3,run/data/m3/debug.log,2288
178,179,admin,12,10.583,10.000,-0.583,5.000,2000-01-01 00:30:12,2,run/data/admin/debug.log,1149
178,179,m1,12,10.583,10.000,-0.583,5.000,2000-01-01 00:30:04,3,run/data/m1/debug.log,4110
178,179,m2,12,10.583,10.000,-0.583,5.000,2000-01-01 00:30:03,3,run/data/m2/debug.log,2470
178,179,m3,12,10.583,10.000,-0.583,5.000,2000-01-01 00:30:04,3,run/data/m3/debug.log,2303
179,180,admin,12,10.167,10.000,-0.167,5.000,2000-01-01 00:30:21,2,run/data/admin/debug.log,1163
179,180,m1,12,10.167,10.000,-0.167,5.000,2000-01-01 00:30:13,3,run/data/m1/debug.log,4125
179,180,m2,12,10.167,10.000,-0.167,5.000,2000-01-01 00:30:12,3,run/data/m2/debug.log,2542
179,180,m3,12,10.167,10.000,-0.167,5.000,2000-01-01 00:30:13,3,run/data/m3/debug.log,2318
180,181,admin,12,10.417,10.000,-0.417,5.000,2000-01-01 00:30:29,2,run/data/admin/debug.log,1177
180,181,m1,12,10.417,10.000,-0.417,5.000,2000-01-01 00:30:21,3,run/data/m1/debug.log,4504
180,181,m2,12,10.417,10.000,-0.417,5.000,2000-01-01 00:30:22,3,run/data/m2/debug.log,2557
180,181,m3,12,10.417,10.000,-0.417,5.000,2000-01-01 00:30:21,3,run/data/m3/debug.log,2333
