send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
33,1,m1,49.8894,45.4949,34
33,1,m3,51.4176,9.8835,34
33,1,m2,49.8892,28.7335,34
100,2,m2,24.6747,13.6048,101
100,2,m3,43.7673,8.3535,101
100,2,m1,108.5603,101.2323,101
200,3,m2,116.2499,68.5499,201
200,3,m3,37.194,7.0388,201
200,3,m1,114.51,106.8845,201
300,4,m1,124.2101,116.0996,301
300,4,m2,51.3378,29.6027,301
300,4,m3,33.0112,6.2022,301
400,5,m2,25.0087,13.8052,401
400,5,m3,27.2794,5.0559,401
400,5,m1,126.4233,118.2021,401
501,6,m2,115.7223,68.2334,502
501,6,m3,24.2007,4.4401,502
501,6,m1,123.7712,115.6826,502
600,7,m2,53.1451,30.6871,601
600,7,m3,119.5,23.5,601
600,7,m1,124.1206,116.0146,601
