experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,cluster_head_host,cluster_head_address,esg_miner,tau_miner,n_companies,companies,tau_cluster_sum,c_i_sum,theta_code,theta_thesis,W_k_raw,A_k_alloc,R_k_reconciled,B_k_prev,B_k,rho_k,rho_k_prev,feedback_factor,w_k_recomputed,w_k_int_recomputed,w_k_published,w_k_published_prev,publish_confirm_height,publish_logged_height,publish_logged_weight,recompute_match,implied_W_k_raw_from_published,implied_raw_delta_over_esg_miner,malus_M,psi,w_after_malus,w_effective_g,W_tot_snapshot,share_snapshot,blocks_mined_epoch,blocks_measured_epoch
run6-tbt-10s,1,intercontinentale,10,none,true,100,1,1,0,99,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,2,1,c5:esg=70.53:tau=27:c_i=19.0431,27,19.0431,242.0,299,508.611727,3.234786,9.8835,0.0,0.0,1.0,,,508.611727,50861,50861,,106,105,50861,1,508.61,-0.0001,0.0,1.0,50861,50861.0,761002.0,0.066834,0,0
run6-tbt-10s,1,intercontinentale,10,none,true,100,1,1,0,99,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,2,2,c1:esg=17.50:tau=83:c_i=14.5250 c2:esg=77.16:tau=56:c_i=43.2096,139,57.7346,242.0,299,5110.892376,32.505431,45.4949,0.0,0.0,1.0,,,5110.892376,511089,511089,,106,105,511089,1,5110.89,-0.0,0.0,1.0,511089,511089.0,761002.0,0.6716,0,0
run6-tbt-10s,1,intercontinentale,10,none,true,100,1,1,0,99,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,2,2,c3:esg=99.26:tau=42:c_i=41.6892 c4:esg=92.76:tau=34:c_i=31.5384,76,73.2276,242.0,299,1990.522296,12.659783,28.7335,0.0,0.0,1.0,,,1990.522296,199052,199052,,106,105,199052,1,1990.52,-0.0001,0.0,1.0,199052,199052.0,761002.0,0.261566,0,0
run6-tbt-10s,1,intercontinentale,10,none,true,100,2,1,100,199,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,2,1,c5:esg=70.53:tau=41:c_i=28.9173,41,28.9173,368.0,377,747.271141,4.817267,8.3535,0.0,0.0,1.0,1.0,1.0,747.271141,74727,74727,50861,206,205,74727,1,747.27,-0.0,0.0,1.0,74727,74727.0,1144355.0,0.065301,2,47
run6-tbt-10s,1,intercontinentale,10,none,true,100,2,1,100,199,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,2,2,c1:esg=17.50:tau=127:c_i=22.2250 c2:esg=77.16:tau=85:c_i=65.5860,212,87.811,368.0,377,7684.22916,49.53621,101.2323,0.0,0.0,1.0,1.0,1.0,7684.22916,768423,768423,511089,206,205,768423,1,7684.23,0.0,0.0,1.0,768423,768423.0,1144355.0,0.67149,27,47
run6-tbt-10s,1,intercontinentale,10,none,true,100,2,1,100,199,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,2,2,c3:esg=99.26:tau=64:c_i=63.5264 c4:esg=92.76:tau=51:c_i=47.3076,115,110.834,368.0,377,2985.58764,19.246523,13.6048,0.0,5.641723,0.706871,1.0,1.0,2985.58764,298559,301205,199052,206,205,301205,0,3012.05,1.0001,0.0,1.0,301205,301205.0,1144355.0,0.263209,18,47
run6-tbt-10s,1,intercontinentale,10,none,true,100,3,1,200,299,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,2,1,c5:esg=70.53:tau=43:c_i=30.3279,43,30.3279,384.0,393,781.365343,5.056803,7.0388,0.0,0.0,1.0,1.0,1.0,781.365343,78137,78137,74727,306,305,78137,1,781.37,0.0002,0.0,1.0,78137,78137.0,1157462.0,0.067507,6,100
run6-tbt-10s,1,intercontinentale,10,none,true,100,3,1,200,299,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,2,2,c1:esg=17.50:tau=133:c_i=23.2750 c2:esg=77.16:tau=88:c_i=67.9008,221,91.1758,384.0,393,7972.121448,51.593597,106.8845,0.0,0.0,1.0,1.0,1.0,7972.121448,797212,814324,768423,306,305,814324,0,8143.24,2.0,0.0,1.0,814324,814324.0,1157462.0,0.703543,74,100
run6-tbt-10s,1,intercontinentale,10,none,true,100,3,1,200,299,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,2,2,c3:esg=99.26:tau=67:c_i=66.5042 c4:esg=92.76:tau=53:c_i=49.1628,120,115.667,384.0,393,3113.46882,20.1496,68.5499,5.641723,-0.0,1.0,0.706871,0.853435,2657.144071,265714,265001,301205,306,305,265001,0,3105.109579,-0.3159,0.0,1.0,265001,265001.0,1157462.0,0.22895,20,100
run6-tbt-10s,1,intercontinentale,10,none,true,100,4,1,300,399,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,2,1,c5:esg=70.53:tau=43:c_i=30.3279,43,30.3279,392.0,401,781.365343,5.038157,6.2022,0.0,0.0,1.0,1.0,1.0,781.365343,78137,,78137,,405,78137,,,,0.0,1.0,,,1233014.0,0.063371,5,100
