sample_height,host,balance_gas
34,c1,99.8042
34,c2,99.804
34,c3,99.8044
34,c4,99.8044
34,c5,99.804
34,m1,4.3493
34,m2,21.1106
34,m3,41.4895
34,ca,49.3564
37,c1,99.608
37,c2,99.6638
37,c3,99.7192
37,c4,99.7194
37,c5,99.719
37,m1,104.3493
37,m2,21.2806
37,m3,42.0959
37,ca,49.3564
40,c1,99.3858
40,c2,99.4972
40,c3,99.6082
40,c4,99.6084
40,c5,99.6634
40,m1,104.3493
40,m2,21.8686
40,m3,42.2069
40,ca,49.3564
43,c1,99.163
43,c2,99.386
43,c3,99.4972
43,c4,99.5528
43,c5,99.608
43,m1,104.7383
43,m2,21.8686
43,m3,42.4293
43,ca,49.3564
46,c1,98.9398
46,c2,99.219
46,c3,99.3862
46,c4,99.4416
46,c5,99.5526
46,m1,105.3497
46,m2,21.8686
46,m3,42.4293
46,ca,49.3564
49,c1,98.7168
49,c2,99.1076
49,c3,99.275
49,c4,99.386
49,c5,99.4414
49,m1,105.5725
49,m2,21.8686
49,m3,42.8189
49,ca,49.3564
52,c1,98.5496
52,c2,98.9404
52,c3,99.1636
52,c4,99.2746
52,c5,99.3858
52,m1,105.5725
52,m2,21.98
52,m3,43.0975
52,ca,49.3564
56,c1,98.3264
56,c2,98.829
56,c3,99.052
56,c4,99.2188
56,c5,99.3302
56,m1,105.5725
56,m2,22.3144
56,m3,43.0975
56,ca,49.3564
58,c1,98.1034
58,c2,98.6616
58,c3,98.9406
58,c4,99.1074
58,c5,99.2744
58,m1,105.5725
58,m2,22.4816
58,m3,43.0975
58,ca,49.3564
62,c1,97.8804
62,c2,98.5504
62,c3,98.8292
62,c4,99.0516
62,c5,99.2186
62,m1,105.9071
62,m2,22.4816
62,m3,43.4877
62,ca,49.3564
64,c1,97.7134
64,c2,98.383
64,c3,98.7736
64,c4,98.94
64,c5,99.107
64,m1,106.3529
64,m2,22.4816
64,m3,43.4877
64,ca,49.3564
68,c1,97.4904
68,c2,98.2716
68,c3,98.6622
68,c4,98.8842
68,c5,99.0512
68,m1,106.8545
68,m2,22.4816
68,m3,43.7663
68,ca,49.3564
71,c1,97.2674
71,c2,98.1042
71,c3,98.5508
71,c4,98.7726
71,c5,98.9954
71,m1,106.8545
71,m2,22.7606
71,m3,44.1563
71,ca,49.3564
74,c1,97.0444
74,c2,97.9926
74,c3,98.4394
74,c4,98.717
74,c5,98.9398
74,m1,106.8545
74,m2,22.872
74,m3,44.3237
74,ca,49.3564
77,c1,96.8216
77,c2,97.8252
77,c3,98.3278
77,c4,98.6056
77,c5,98.884
77,m1,106.8545
77,m2,23.3182
77,m3,44.3237
77,ca,49.3564
80,c1,96.6546
80,c2,97.7136
80,c3,98.2164
