experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run6-tbt-10s,nazionale,1,10,none,true,2,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,19,2,0.10526316,,1,18
run6-tbt-10s,nazionale,1,10,none,true,2,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,4,0,0.0,,0,4
run6-tbt-10s,nazionale,1,10,none,true,2,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,24,1,0.04166667,,2,25
run6-tbt-10s,nazionale,1,10,none,true,3,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,27,4,0.14814815,,5,28
run6-tbt-10s,nazionale,1,10,none,true,3,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,9,0,0.0,,2,11
run6-tbt-10s,nazionale,1,10,none,true,3,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,64,7,0.109375,,4,61
run6-tbt-10s,nazionale,1,10,none,true,4,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,29,6,0.20689655,,1,24
run6-tbt-10s,nazionale,1,10,none,true,4,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,5,0,0.0,,0,5
run6-tbt-10s,nazionale,1,10,none,true,4,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,66,1,0.01515152,,6,71
run6-tbt-10s,nazionale,1,10,none,true,5,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,20,4,0.2,,1,17
run6-tbt-10s,nazionale,1,10,none,true,5,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,2,2,1.0,,0,0
run6-tbt-10s,nazionale,1,10,none,true,5,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,78,1,0.01282051,,6,83
run6-tbt-10s,nazionale,1,10,none,true,6,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,30,7,0.23333333,,4,27
run6-tbt-10s,nazionale,1,10,none,true,6,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,9,3,0.33333333,,3,9
run6-tbt-10s,nazionale,1,10,none,true,6,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,60,4,0.06666667,,7,63
run6-tbt-10s,nazionale,1,10,none,true,all,m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,125,23,0.184,,12,114
run6-tbt-10s,nazionale,1,10,none,true,all,m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,29,5,0.17241379,,5,29
run6-tbt-10s,nazionale,1,10,none,true,all,m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,292,14,0.04794521,,25,303
