height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
152,2,1,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.91116788e-06,14.786,14.786,2000-01-01 00:25:14,0,run/data/m1/debug.log,639
152,2,1,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,3.06427555e-06,14.038,14.038,2000-01-01 00:25:15,0,run/data/m2/debug.log,648
152,2,1,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.38783862e-05,15.033,15.033,2000-01-01 00:25:15,0,run/data/m3/debug.log,654
153,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.29493836e-06,13.090,13.090,2000-01-01 00:25:29,0,run/data/m1/debug.log,724
153,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,7.62732896e-06,14.835,14.835,2000-01-01 00:25:29,0,run/data/m2/debug.log,755
153,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,6.93446606e-06,14.813,14.813,2000-01-01 00:25:30,0,run/data/m3/debug.log,685
154,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,8.89491513e-07,9.681,9.681,2000-01-01 00:25:42,0,run/data/m1/debug.log,870
154,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.00603951e-06,14.310,14.310,2000-01-01 00:25:43,0,run/data/m2/debug.log,790
154,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.61331109e-05,14.800,14.800,2000-01-01 00:25:43,0,run/data/m3/debug.log,704
155,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.67080267e-06,12.008,12.008,2000-01-01 00:25:52,0,run/data/m1/debug.log,996
155,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.67552659e-06,12.018,12.018,2000-01-01 00:25:53,0,run/data/m2/debug.log,805
155,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.38436169e-07,7.099,7.099,2000-01-01 00:25:53,0,run/data/m3/debug.log,719
156,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.030842e-06,14.353,14.353,2000-01-01 00:26:02,0,run/data/m1/debug.log,1011
156,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,2.97151096e-05,14.833,14.833,2000-01-01 00:26:02,0,run/data/m2/debug.log,820
156,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.90577086e-06,13.712,13.712,2000-01-01 00:26:01,0,run/data/m3/debug.log,808
157,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.3927797e-07,5.829,5.829,2000-01-01 00:26:16,0,run/data/m1/debug.log,1026
157,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.492093e-06,11.582,11.582,2000-01-01 00:26:16,0,run/data/m2/debug.log,835
157,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.83434022e-05,14.833,14.833,2000-01-01 00:26:15,0,run/data/m3/debug.log,843
158,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,5.5592381e-07,8.237,8.237,2000-01-01 00:26:23,0,run/data/m1/debug.log,1093
158,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,9.0703626e-07,9.765,9.765,2000-01-01 00:26:24,0,run/data/m2/debug.log,850
158,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.33580919e-05,14.816,14.816,2000-01-01 00:26:24,0,run/data/m3/debug.log,858
159,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.80308327e-07,6.769,6.769,2000-01-01 00:26:32,0,run/data/m1/debug.log,1608
159,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.36371324e-06,11.285,11.285,2000-01-01 00:26:33,0,run/data/m2/debug.log,868
159,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.51543708e-06,11.672,11.672,2000-01-01 00:26:33,0,run/data/m3/debug.log,876
160,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,3.58317877e-06,14.243,14.243,2000-01-01 00:26:40,0,run/data/m1/debug.log,1894
160,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,5.36888498e-06,14.741,14.741,2000-01-01 00:26:41,0,run/data/m2/debug.log,883
160,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.15292659e-05,14.917,14.917,2000-01-01 00:26:41,0,run/data/m3/debug.log,891
161,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.81474786e-06,12.266,12.266,2000-01-01 00:26:54,0,run/data/m1/debug.log,2409
161,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,6.63682162e-07,8.749,8.749,2000-01-01 00:26:55,0,run/data/m2/debug.log,898
161,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,6.48438557e-06,14.741,14.741,2000-01-01 00:26:55,0,run/data/m3/debug.log,906
162,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.60306437e-06,11.809,11.809,2000-01-01 00:27:05,0,run/data/m1/debug.log,2424
162,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,2.58310987e-06,13.370,13.370,2000-01-01 00:27:04,0,run/data/m2/debug.log,1074
162,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.80962916e-05,14.800,14.800,2000-01-01 00:27:05,0,run/data/m3/debug.log,921
163,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.56483633e-06,14.478,14.478,2000-01-01 00:27:17,0,run/data/m1/debug.log,2591
163,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.86074681e-05,14.800,14.800,2000-01-01 00:27:18,0,run/data/m2/debug.log,1089
163,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.11326569e-05,14.800,14.800,2000-01-01 00:27:18,0,run/data/m3/debug.log,936
164,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.85252313e-06,12.221,12.221,2000-01-01 00:27:32,0,run/data/m1/debug.log,3320
164,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.42318237e-05,14.700,14.700,2000-01-01 00:27:33,0,run/data/m2/debug.log,1104
164,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,9.17632221e-06,14.690,14.690,2000-01-01 00:27:33,0,run/data/m3/debug.log,951
165,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,3.47676121e-06,13.987,13.987,2000-01-01 00:27:46,0,run/data/m1/debug.log,3535
165,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,3.93547921e-06,14.200,14.200,2000-01-01 00:27:47,0,run/data/m2/debug.log,1119
165,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.1803135e-06,13.804,13.804,2000-01-01 00:27:47,0,run/data/m3/debug.log,966
166,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,3.58285235e-06,14.026,14.026,2000-01-01 00:28:00,0,run/data/m1/debug.log,3943
166,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.12439167e-07,5.512,5.512,2000-01-01 00:28:01,0,run/data/m2/debug.log,1134
166,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,6.08034784e-06,14.597,14.597,2000-01-01 00:28:01,0,run/data/m3/debug.log,981
167,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.59580772e-06,11.726,11.726,2000-01-01 00:28:09,0,run/data/m1/debug.log,3958
167,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.65421678e-05,14.733,14.733,2000-01-01 00:28:08,0,run/data/m2/debug.log,1381
167,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,4.83968887e-06,14.472,14.472,2000-01-01 00:28:09,0,run/data/m3/debug.log,996
168,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,7.93138257e-07,9.163,9.163,2000-01-01 00:28:21,0,run/data/m1/debug.log,4122
168,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,5.2969379e-06,14.481,14.481,2000-01-01 00:28:22,0,run/data/m2/debug.log,1396
168,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.96070919e-05,14.667,14.667,2000-01-01 00:28:22,0,run/data/m3/debug.log,1011
169,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.77430251e-06,13.495,13.495,2000-01-01 00:28:31,0,run/data/m1/debug.log,4408
169,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.69219387e-05,14.733,14.733,2000-01-01 00:28:32,0,run/data/m2/debug.log,1414
169,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.41431677e-05,14.733,14.733,2000-01-01 00:28:32,0,run/data/m3/debug.log,1029
170,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,7.58177555e-07,8.983,8.983,2000-01-01 00:28:45,0,run/data/m1/debug.log,5100
170,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.71425666e-06,14.346,14.346,2000-01-01 00:28:46,0,run/data/m2/debug.log,1429
170,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,8.03105467e-05,14.633,14.633,2000-01-01 00:28:46,0,run/data/m3/debug.log,1044
171,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,5.33724194e-06,14.437,14.437,2000-01-01 00:28:55,0,run/data/m1/debug.log,5119
171,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,2.47287393e-06,13.063,13.063,2000-01-01 00:28:56,0,run/data/m2/debug.log,1444
171,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.56990018e-05,14.617,14.617,2000-01-01 00:28:56,0,run/data/m3/debug.log,1059
172,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.23449429e-07,7.247,7.247,2000-01-01 00:29:10,0,run/data/m1/debug.log,5134
172,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.42669267e-06,14.160,14.160,2000-01-01 00:29:09,0,run/data/m2/debug.log,2178
172,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.56540128e-05,14.517,14.517,2000-01-01 00:29:10,0,run/data/m3/debug.log,1074
173,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.51124924e-06,13.090,13.090,2000-01-01 00:29:18,0,run/data/m1/debug.log,5423
173,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.14575161e-06,14.159,14.159,2000-01-01 00:29:19,0,run/data/m2/debug.log,2193
173,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,5.49487666e-05,14.600,14.600,2000-01-01 00:29:19,0,run/data/m3/debug.log,1089
174,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.0442616e-06,9.994,9.994,2000-01-01 00:29:31,0,run/data/m1/debug.log,5462
174,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.94105279e-06,14.308,14.308,2000-01-01 00:29:32,0,run/data/m2/debug.log,2208
174,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,9.38515921e-06,14.541,14.541,2000-01-01 00:29:32,0,run/data/m3/debug.log,1104
175,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.07419263e-07,7.225,7.225,2000-01-01 00:29:42,0,run/data/m1/debug.log,5731
175,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,6.25136934e-06,14.493,14.493,2000-01-01 00:29:43,0,run/data/m2/debug.log,2223
175,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.14154969e-05,14.581,14.581,2000-01-01 00:29:43,0,run/data/m3/debug.log,1119
176,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,6.44672717e-07,8.545,8.545,2000-01-01 00:29:50,0,run/data/m1/debug.log,6041
176,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.48000864e-05,14.700,14.700,2000-01-01 00:29:51,0,run/data/m2/debug.log,2238
176,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,4.99525656e-05,14.700,14.700,2000-01-01 00:29:51,0,run/data/m3/debug.log,1134
177,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.04765315e-07,6.212,6.212,2000-01-01 00:29:59,0,run/data/m1/debug.log,6087
177,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,2.1469126e-07,6.276,6.276,2000-01-01 00:30:00,0,run/data/m2/debug.log,2253
177,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.26467581e-05,14.783,14.783,2000-01-01 00:30:00,0,run/data/m3/debug.log,1149
178,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.97485493e-09,4.954,4.954,2000-01-01 00:30:05,0,run/data/m1/debug.log,6154
178,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.14017555e-06,10.678,10.678,2000-01-01 00:30:06,0,run/data/m2/debug.log,2268
178,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.42991583e-05,14.916,14.916,2000-01-01 00:30:06,0,run/data/m3/debug.log,1164
179,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,5.01364993e-07,8.094,8.094,2000-01-01 00:30:11,0,run/data/m1/debug.log,6464
179,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,3.51160751e-06,14.239,14.239,2000-01-01 00:30:12,0,run/data/m2/debug.log,2283
179,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.49609867e-05,14.950,14.950,2000-01-01 00:30:12,0,run/data/m3/debug.log,1179
180,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.5783578e-06,11.969,11.969,2000-01-01 00:30:20,0,run/data/m1/debug.log,6534
180,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.97292639e-06,14.780,14.780,2000-01-01 00:30:21,0,run/data/m2/debug.log,2298
180,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,2.12676484e-05,15.017,15.017,2000-01-01 00:30:21,0,run/data/m3/debug.log,1194
181,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,4.32854202e-08,5.304,5.304,2000-01-01 00:30:32,0,run/data/m1/debug.log,6697
181,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.24427398e-06,11.065,11.065,2000-01-01 00:30:33,0,run/data/m2/debug.log,2316
181,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.22050899e-05,14.983,14.983,2000-01-01 00:30:33,0,run/data/m3/debug.log,1212
182,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.86676249e-06,13.978,13.978,2000-01-01 00:30:37,0,run/data/m1/debug.log,6787
182,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,6.71168568e-06,15.069,15.069,2000-01-01 00:30:38,0,run/data/m2/debug.log,2331
182,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.5775866e-05,15.133,15.133,2000-01-01 00:30:38,0,run/data/m3/debug.log,1227
183,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,2.65143501e-06,13.692,13.692,2000-01-01 00:30:52,0,run/data/m1/debug.log,7125
183,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,2.8505829e-06,13.881,13.881,2000-01-01 00:30:53,0,run/data/m2/debug.log,2346
183,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,1.62613645e-05,15.050,15.050,2000-01-01 00:30:53,0,run/data/m3/debug.log,1242
184,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,8.9119456e-07,9.938,9.938,2000-01-01 00:31:06,0,run/data/m1/debug.log,7210
184,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.4969495e-07,6.116,6.116,2000-01-01 00:31:07,0,run/data/m2/debug.log,2361
184,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,4.74525551e-06,14.769,14.769,2000-01-01 00:31:07,0,run/data/m3/debug.log,1257
185,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,5.02007642e-06,14.855,14.855,2000-01-01 00:31:15,0,run/data/m1/debug.log,7225
185,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.93862804e-06,12.760,12.760,2000-01-01 00:31:13,0,run/data/m2/debug.log,2474
185,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,6.6226047e-06,15.015,15.015,2000-01-01 00:31:15,0,run/data/m3/debug.log,1272
186,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.8309085e-07,6.354,6.354,2000-01-01 00:31:28,0,run/data/m1/debug.log,7240
186,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,3.52063402e-07,7.395,7.395,2000-01-01 00:31:27,0,run/data/m2/debug.log,2656
186,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,9.51611968e-07,10.182,10.182,2000-01-01 00:31:28,0,run/data/m3/debug.log,1287
187,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.77785851e-07,6.370,6.370,2000-01-01 00:31:35,0,run/data/m1/debug.log,8188
187,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,1.51030258e-07,6.208,6.208,2000-01-01 00:31:34,0,run/data/m2/debug.log,2685
187,2,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,3.10564678e-05,15.133,15.133,2000-01-01 00:31:35,0,run/data/m3/debug.log,1318
188,2,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,1.22552446e-06,11.176,11.176,2000-01-01 00:31:41,0,run/data/m1/debug.log,8247
188,2,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,4.20663327e-06,14.729,14.729,2000-01-01 00:31:41,0,run/data/m2/debug.log,2933
