host_a,host_b,one_way_ms,rtt_ms,hops
m1,m2,1.883,3.766,1
m1,m3,1.067,2.134,1
m1,c1,1.482,2.964,1
m1,c2,1.353,2.706,1
m1,c3,3.426,6.852,2
m1,c4,3.155,6.31,2
m1,admin,2.327,4.654,2
m1,ca,2.677,5.354,2
m1,c5,2.549,5.098,2
m2,m3,1.833,3.666,1
m2,c1,3.365,6.73,2
m2,c2,3.236,6.472,2
m2,c3,1.543,3.086,1
m2,c4,1.272,2.544,1
m2,admin,3.093,6.186,2
m2,ca,3.443,6.886,2
m2,c5,3.315,6.63,2
m3,c1,2.549,5.098,2
m3,c2,2.42,4.84,2
m3,c3,3.376,6.752,2
m3,c4,3.105,6.21,2
m3,admin,1.26,2.52,1
m3,ca,1.61,3.22,1
m3,c5,1.482,2.964,1
c1,c2,2.835,5.67,2
c1,c3,4.908,9.816,3
c1,c4,4.637,9.274,3
c1,admin,3.809,7.618,3
c1,ca,4.159,8.318,3
c1,c5,4.031,8.062,3
c2,c3,4.779,9.558,3
c2,c4,4.508,9.016,3
c2,admin,3.68,7.36,3
c2,ca,4.03,8.06,3
c2,c5,3.902,7.804,3
c3,c4,2.815,5.63,2
c3,admin,4.636,9.272,3
c3,ca,4.986,9.972,3
c3,c5,4.858,9.716,3
c4,admin,4.365,8.73,3
c4,ca,4.715,9.43,3
c4,c5,4.587,9.174,3
admin,ca,2.87,5.74,2
admin,c5,2.742,5.484,2
ca,c5,3.092,6.184,2
