experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,epoch_buried,validator_host,validator_address,w_raw_start,w_raw_end,w_eff_start,w_eff_end,psi,p_theoretical_blockweighted,n_blocks,O_i,E_i,p_hat,wilson95_low,wilson95_high,p_theoretical_inside_wilson95,abs_error_p,share_changed_within_epoch
run6-tbt-10s,regionale,1,10,none,true,2,1,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,502990,502990,502990.0,502990.0,1.0,0.668067,47,38,31.399149,0.80851064,0.67455995,0.89584067,0,0.14044364,0
run6-tbt-10s,regionale,1,10,none,true,2,1,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,199052,199052,199052.0,199052.0,1.0,0.264379,47,7,12.425813,0.14893617,0.0740672,0.27685622,1,0.11544283,0
run6-tbt-10s,regionale,1,10,none,true,2,1,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,50861,50861,50861.0,50861.0,1.0,0.067553,47,2,3.174991,0.04255319,0.01174828,0.14248528,1,0.02499981,0
run6-tbt-10s,regionale,1,10,none,true,3,1,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,502990,804271,502990.0,804271.0,1.0,0.67691781,100,74,67.691781,0.74,0.64629011,0.81595302,1,0.06308219,1
run6-tbt-10s,regionale,1,10,none,true,3,1,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,199052,306266,199052.0,306266.0,1.0,0.25846885,100,19,25.846885,0.19,0.12514752,0.27778845,1,0.06846885,1
run6-tbt-10s,regionale,1,10,none,true,3,1,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,50861,76432,50861.0,76432.0,1.0,0.0646142,100,7,6.46142,0.07,0.03431926,0.13749515,1,0.0053858,1
run6-tbt-10s,regionale,1,10,none,true,4,1,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,804271,804271,804271.0,804271.0,1.0,0.70446379,100,76,70.446379,0.76,0.66767664,0.83308674,1,0.05553621,1
run6-tbt-10s,regionale,1,10,none,true,4,1,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,306266,256000,306266.0,256000.0,1.0,0.22719543,100,14,22.719543,0.14,0.08526344,0.22137188,0,0.08719543,1
run6-tbt-10s,regionale,1,10,none,true,4,1,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,76432,78137,76432.0,78137.0,1.0,0.06833992,100,10,6.833992,0.1,0.05522914,0.17436566,1,0.03166008,1
run6-tbt-10s,regionale,1,10,none,true,5,1,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,804271,812370,804271.0,812370.0,1.0,0.67905293,100,69,67.905293,0.69,0.59373944,0.77220303,1,0.01094707,1
run6-tbt-10s,regionale,1,10,none,true,5,1,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,256000,311175,256000.0,311175.0,1.0,0.25690606,100,23,25.690606,0.23,0.15843266,0.32154383,1,0.02690606,1
run6-tbt-10s,regionale,1,10,none,true,5,1,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,78137,76432,78137.0,76432.0,1.0,0.06404094,100,8,6.404094,0.08,0.04109346,0.14998108,1,0.01595906,1
run6-tbt-10s,regionale,1,10,none,true,6,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,812370,866954,812370.0,866954.0,1.0,0.675092,91,74,61.433372,0.81318681,0.72104054,0.87996245,0,0.13809481,1
run6-tbt-10s,regionale,1,10,none,true,6,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,311175,334297,311175.0,334297.0,1.0,0.26018192,91,16,23.676555,0.17582418,0.11122529,0.2666839,1,0.08435775,1
run6-tbt-10s,regionale,1,10,none,true,6,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,76432,83251,76432.0,83251.0,1.0,0.06472608,91,1,5.890073,0.01098901,0.00194247,0.05964936,0,0.05373707,1
run6-tbt-10s,regionale,1,10,none,true,all,0,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,,,,,1.0,0.68236524,438,331,298.875974,0.75570776,0.71335966,0.79360952,0,0.07334253,
run6-tbt-10s,regionale,1,10,none,true,all,0,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,,,,,1.0,0.25196211,438,79,110.359402,0.1803653,0.1471857,0.21910283,0,0.07159681,
run6-tbt-10s,regionale,1,10,none,true,all,0,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,,,,,1.0,0.06567253,438,28,28.76457,0.06392694,0.04459602,0.09084048,1,0.00174559,
