run_id,livello,tbt,epoca,host,indirizzo,esg_miner,esg_cluster_medio,esg_cluster_lista,attivita_miner_tau,attivita_cluster_tau_somma,attivita_cluster_tau_lista,contributi_c_i_lista,theta_epoca,peso_grezzo_epoca,allocazione_A_k,saldo_B_precedente,saldo_B_epoca,riconciliato_R_k,rho_epoca,rho_epoca_precedente,peso_pubblicato_epoca,peso_pubblicato_ricalcolato,scarto_ricalcolo,esito_ricalcolo,height_pubblicazione,malus_accumulatore_epoca,fattore_correzione_malus,peso_dopo_malus,dump_function_usata,peso_efficace_epoca,peso_effettivo_epoca,W_tot_epoca,quota_peso_epoca,blocchi_minati_epoca,blocchi_totali_epoca,quota_osservata_epoca,quota_attesa_vigenza,scostamento_quota,chi2_epoca,df_epoca,chi2_critico_5pct,compatibile_epoca,attesa_minima_epoca,campione_sufficiente_epoca,finestra_epoche,blocchi_finestra,chi2_finestra,df_finestra,compatibile_finestra,attesa_minima_finestra,campione_sufficiente_finestra
run1-tbt-15s/nazionale,nazionale,15,1,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.0,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,0,esatto,19,0.0,1.0,1,none,1.0,1.0,3.0,0.333333,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,1,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,0.0,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,0,esatto,19,0.0,1.0,1,none,1.0,1.0,3.0,0.333333,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,1,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,0.0,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,0,esatto,19,0.0,1.0,1,none,1.0,1.0,3.0,0.333333,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,2,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,3,2,c5:2,c5:1.5264,10.0,79.212,0.392724,0.0,0.0,9.62,1.0,0.0,3961,3961,0,esatto,30,0.0,1.0,3961,none,3961.0,3961.0,20170.0,0.196381,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,2,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",3,4,"c3:2,c4:2","c3:1.8552,c4:1.4106",10.0,151.444386,0.750844,0.0,0.0,28.6705,1.0,0.0,7572,7572,0,esatto,30,0.0,1.0,7572,none,7572.0,7572.0,20170.0,0.375409,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,2,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",3,4,"c1:2,c2:2","c1:1.5432,c2:1.9852",10.0,172.741464,0.856432,0.0,0.0,46.8473,1.0,0.0,8637,8637,0,esatto,30,0.0,1.0,8637,none,8637.0,8637.0,20170.0,0.42821,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,3,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,7,c5:7,c5:5.3424,62.0,128.492,1.114498,0.0,0.0,7.6869,1.0,1.0,12849,12849,0,esatto,42,0.0,1.0,12849,none,12849.0,12849.0,142961.0,0.089878,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,3,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,19,"c3:11,c4:8","c3:10.2036,c4:5.6424",62.0,431.33782,3.741286,0.0,0.0,11.4412,1.0,1.0,43134,43134,0,esatto,42,0.0,1.0,43134,none,43134.0,43134.0,142961.0,0.301719,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,3,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,36,"c1:22,c2:14","c1:16.9752,c2:13.8964",62.0,869.782536,7.544215,0.0,0.0,97.8324,1.0,1.0,86978,86978,0,esatto,42,0.0,1.0,86978,none,86978.0,86978.0,142961.0,0.608404,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,4,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,7,c5:7,c5:5.3424,63.0,128.492,1.116164,0.0,0.0,6.2529,1.0,1.0,,12849,,non pubblicato in questa epoca,,0.0,1.0,,none,,,145050.0,0.088583,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,4,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,19,"c3:10,c4:9","c3:9.2760,c4:6.3477",63.0,425.964829,3.700202,0.0,0.0,64.4861,1.0,1.0,42596,42596,0,esatto,54,0.0,1.0,42596,none,42596.0,42596.0,145050.0,0.293664,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,4,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,37,"c1:22,c2:15","c1:16.9752,c2:14.8890",63.0,896.046732,7.783634,0.0,0.0,102.1893,1.0,1.0,89605,89605,0,esatto,54,0.0,1.0,89605,none,89605.0,89605.0,145050.0,0.617752,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,5,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,1,7,c5:7,c5:5.3424,65.0,110.992,0.976352,0.0,0.0,5.1342,1.0,1.0,11099,11099,0,esatto,66,0.0,1.0,11099,none,11099.0,11099.0,147785.0,0.075102,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,5,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,21,"c3:12,c4:9","c3:11.1312,c4:6.3477",65.0,470.805013,4.141483,0.0,0.0,27.0929,1.0,1.0,47081,47081,0,esatto,66,0.0,1.0,47081,none,47081.0,47081.0,147785.0,0.318578,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,5,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,37,"c1:22,c2:15","c1:16.9752,c2:14.8890",65.0,896.046732,7.882165,0.0,0.0,100.4893,1.0,1.0,,89605,,non pubblicato in questa epoca,,0.0,1.0,,none,,,147785.0,0.60632,0,0,,,,,,,,,,5,,,,,,
run1-tbt-15s/nazionale,nazionale,15,6,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,8,c5:8,c5:6.1056,71.0,141.848,1.269373,0.0,0.0,4.425,1.0,1.0,14185,14185,0,esatto,78,0.0,1.0,14185,none,14185.0,14185.0,158680.0,0.089394,2,11,0.181818,0.082456,0.099362,1.4355,2,5.991,1,0.907,0,5,11,1.4355,2,1,0.907,0
run1-tbt-15s/nazionale,nazionale,15,6,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,22,"c3:12,c4:10","c3:11.1312,c4:7.0530",71.0,487.852114,4.365703,0.0,0.0,71.1593,1.0,1.0,48785,48785,0,esatto,78,0.0,1.0,48785,none,48785.0,48785.0,158680.0,0.307443,3,11,0.272727,0.304989,-0.032262,1.4355,2,5.991,1,0.907,0,5,11,1.4355,2,1,0.907,0
run1-tbt-15s/nazionale,nazionale,15,6,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",1,41,"c1:25,c2:16","c1:19.2900,c2:15.8816",71.0,957.100536,8.564924,0.0,0.0,101.4282,1.0,1.0,95710,95710,0,esatto,78,0.0,1.0,95710,none,95710.0,95710.0,158680.0,0.603164,6,11,0.545455,0.612556,-0.067101,1.4355,2,5.991,1,0.907,0,5,11,1.4355,2,1,0.907,0
run1-tbt-15s/nazionale,nazionale,15,7,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,6,c5:6,c5:4.5792,53.0,115.136,0.979143,0.0,0.0,23.6637,1.0,1.0,11514,11514,0,esatto,90,0.0,1.0,11514,none,11514.0,11514.0,124644.0,0.092375,0,12,0.0,0.081057,-0.081057,2.8358,2,5.991,1,0.973,0,5,23,0.9263,2,1,1.88,0
run1-tbt-15s/nazionale,nazionale,15,7,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,16,"c3:9,c4:7","c3:8.3484,c4:4.9371",53.0,369.450535,3.141892,0.0,0.0,29.0296,1.0,1.0,36945,36945,0,esatto,90,0.0,1.0,36945,none,36945.0,36945.0,124644.0,0.296404,2,12,0.166667,0.313938,-0.147271,2.8358,2,5.991,1,0.973,0,5,23,0.9263,2,1,1.88,0
run1-tbt-15s/nazionale,nazionale,15,7,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,31,"c1:18,c2:13","c1:13.8888,c2:12.9038",53.0,761.852196,6.478965,0.0,0.0,102.4346,1.0,1.0,76185,76185,0,esatto,90,0.0,1.0,76185,none,76185.0,76185.0,124644.0,0.611221,10,12,0.833333,0.605005,0.228328,2.8358,2,5.991,1,0.973,0,5,23,0.9263,2,1,1.88,0
run1-tbt-15s/nazionale,nazionale,15,8,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,7,c5:7,c5:5.3424,63.0,128.492,1.119129,0.0,0.0,18.9008,1.0,1.0,12849,12849,0,esatto,102,0.0,1.0,12849,none,12849.0,12849.0,144665.0,0.088819,0,12,0.0,0.090636,-0.090636,1.196,2,5.991,1,1.088,0,5,35,0.9507,2,1,2.967,0
run1-tbt-15s/nazionale,nazionale,15,8,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,20,"c3:11,c4:9","c3:10.2036,c4:6.3477",63.0,448.384921,3.905307,0.0,0.0,12.0712,1.0,1.0,44838,44838,0,esatto,102,0.0,1.0,44838,none,44838.0,44838.0,144665.0,0.309944,4,12,0.333333,0.302843,0.03049,1.196,2,5.991,1,1.088,0,5,35,0.9507,2,1,2.967,0
run1-tbt-15s/nazionale,nazionale,15,8,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,36,"c1:22,c2:14","c1:16.9752,c2:13.8964",63.0,869.782536,7.575563,0.0,0.0,102.3894,1.0,1.0,86978,86978,0,esatto,102,0.0,1.0,86978,none,86978.0,86978.0,144665.0,0.601237,8,12,0.666667,0.606521,0.060146,1.196,2,5.991,1,1.088,0,5,35,0.9507,2,1,2.967,0
run1-tbt-15s/nazionale,nazionale,15,9,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,2,7,c5:7,c5:5.3424,66.0,128.492,1.118973,0.0,0.0,15.0433,1.0,1.0,,12849,,non pubblicato in questa epoca,,0.0,1.0,,none,,,151576.0,0.084769,2,12,0.166667,0.090893,0.075774,3.0623,2,5.991,1,1.091,0,5,47,2.0252,2,1,4.058,0
run1-tbt-15s/nazionale,nazionale,15,9,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,81.645,"c3:92.76,c4:70.53",2,21,"c3:12,c4:9","c3:11.1312,c4:6.3477",66.0,470.805013,4.100006,0.0,0.0,66.0346,1.0,1.0,47081,47081,0,esatto,114,0.0,1.0,47081,none,47081.0,47081.0,151576.0,0.31061,1,12,0.083333,0.302046,-0.218713,3.0623,2,5.991,1,1.091,0,5,47,2.0252,2,1,4.058,0
run1-tbt-15s/nazionale,nazionale,15,9,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,88.21,"c1:77.16,c2:99.26",2,38,"c1:23,c2:15","c1:17.7468,c2:14.8890",66.0,916.463268,7.981021,0.0,0.0,102.0031,1.0,1.0,91646,91646,0,esatto,114,0.0,1.0,91646,none,91646.0,91646.0,151576.0,0.604621,9,12,0.75,0.607061,0.142939,3.0623,2,5.991,1,1.091,0,5,47,2.0252,2,1,4.058,0
run1-tbt-15s/nazionale,nazionale,15,10,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,76.32,c5:76.32,1,7,c5:7,c5:5.3424,66.0,110.992,0.975361,0.0,0.0,12.1332,1.0,1.0,11099,11099,0,esatto,126,0.0,1.0,11099,none,11099.0,11099.0,150210.0,0.07389,0,12,0.0,0.087132,-0.087132,1.1479,2,5.991,1,1.046,0,5,59,1.9263,2,1,5.104,1
