run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,c1,1MZ34BZBycanzV6MQpn4kGo3igKxDeCFHrm4ys,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,c2,1LB6qUDEtPSL1cXPypZpfPq4jGZRpZVJ3UzARx,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,c3,14pmjhAXKHStX1ymPpwvt7n9i412fia61DZFdB,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,c4,1TFFyiBbp1YeJiDAG9heTHahno55ikaZcom68e,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,c5,1Zf6vhjhrZjDD8A5EitQbbxXVqtZKz5YEQ5i7C,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8038,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3387,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),21.1529,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),40.3502,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,19,,2,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.356,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run4-tbt-3s/intercontinentale,intercontinentale,3,110,,10,refill,admin,,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3387,campione a height=110,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
