run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run4-tbt-3s/nazionale,nazionale,3,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,6,3,0.0,0.0,1.0,m1,0.333333,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,7,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/nazionale,nazionale,3,8,3,0.295554,0.295554,0.856948,m1,0.598547,0.295524,0.208001,3e-05
run4-tbt-3s/nazionale,nazionale,3,9,3,0.300441,0.300441,0.834916,m1,0.628194,0.300512,0.0,-7.1e-05
run4-tbt-3s/nazionale,nazionale,3,10,3,0.346946,0.346946,0.801793,m1,0.644196,0.34696,0.184093,-1.3e-05
run4-tbt-3s/nazionale,nazionale,3,11,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run4-tbt-3s/nazionale,nazionale,3,12,3,0.340851,0.340851,0.811432,m1,0.627822,0.340844,0.216668,7e-06
run4-tbt-3s/nazionale,nazionale,3,13,1,0.0,0.0,0.0,m1,1.0,0.374321,0.217341,-0.374321
run4-tbt-3s/nazionale,nazionale,3,14,2,0.289221,0.289221,0.74297,m2,0.789221,0.447609,0.276598,-0.158389
run4-tbt-3s/nazionale,nazionale,3,15,3,0.327297,0.327297,0.826712,m1,0.60429,0.327293,0.199512,4e-06
run4-tbt-3s/nazionale,nazionale,3,16,2,0.241822,0.241822,0.823984,m1,0.741822,0.353989,0.163691,-0.112166
run4-tbt-3s/nazionale,nazionale,3,17,3,0.402072,0.402072,0.731302,m1,0.680879,0.402064,0.234787,8e-06
run4-tbt-3s/nazionale,nazionale,3,18,2,0.375305,0.375305,0.542707,m1,0.875305,0.372117,0.261024,0.003189
run4-tbt-3s/nazionale,nazionale,3,19,3,0.387328,0.387328,0.746952,m1,0.689197,0.387322,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,20,2,0.24014,0.24014,0.826535,m1,0.74014,0.369482,0.2286,-0.129342
run4-tbt-3s/nazionale,nazionale,3,21,3,0.407256,0.407256,0.723747,m1,0.687131,0.407249,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,22,2,0.371641,0.371641,0.552921,m1,0.871641,0.365727,0.274277,0.005914
run4-tbt-3s/nazionale,nazionale,3,23,3,0.39564,0.39564,0.727859,m1,0.707856,0.395635,0.216986,6e-06
run4-tbt-3s/nazionale,nazionale,3,24,2,0.243848,0.243848,0.820885,m1,0.743848,0.374321,0.217341,-0.130473
run4-tbt-3s/nazionale,nazionale,3,25,2,0.278992,0.278992,0.762004,m2,0.778992,0.394575,0.199512,-0.115583
run4-tbt-3s/nazionale,nazionale,3,26,3,0.304727,0.304727,0.851147,m1,0.586558,0.304721,0.198152,6e-06
run4-tbt-3s/nazionale,nazionale,3,27,2,0.386367,0.386367,0.510777,m1,0.886367,0.391998,0.289062,-0.005631
run4-tbt-3s/nazionale,nazionale,3,28,3,0.368304,0.368304,0.767676,m1,0.67839,0.368299,0.163691,5e-06
run4-tbt-3s/nazionale,nazionale,3,29,2,0.243848,0.243848,0.820885,m1,0.743848,0.374321,0.217341,-0.130473
run4-tbt-3s/nazionale,nazionale,3,30,3,0.413819,0.413819,0.712693,m1,0.686699,0.413825,0.238582,-6e-06
run4-tbt-3s/nazionale,nazionale,3,31,3,0.374327,0.374327,0.768704,m1,0.666062,0.374321,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,32,2,0.18378,0.18378,0.900223,m1,0.68378,0.329412,0.215338,-0.145632
run4-tbt-3s/nazionale,nazionale,3,33,3,0.407256,0.407256,0.723747,m1,0.687131,0.407249,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,34,3,0.406097,0.406097,0.723908,m1,0.698722,0.406102,0.276118,-5e-06
run4-tbt-3s/nazionale,nazionale,3,35,3,0.340851,0.340851,0.811432,m1,0.627822,0.340844,0.216668,7e-06
run4-tbt-3s/nazionale,nazionale,3,36,1,0.0,0.0,0.0,m1,1.0,0.374321,0.217341,-0.374321
run4-tbt-3s/nazionale,nazionale,3,37,2,0.254333,0.254333,0.804338,m2,0.754333,0.408273,0.199512,-0.15394
run4-tbt-3s/nazionale,nazionale,3,38,3,0.337811,0.337811,0.815191,m1,0.619768,0.337818,0.223861,-6e-06
run4-tbt-3s/nazionale,nazionale,3,39,3,0.374327,0.374327,0.768704,m1,0.666062,0.374321,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,40,1,0.0,0.0,0.0,m1,1.0,0.340844,0.216668,-0.340844
run4-tbt-3s/nazionale,nazionale,3,41,3,0.46008,0.46008,0.636969,m1,0.750795,0.460086,0.276118,-6e-06
run4-tbt-3s/nazionale,nazionale,3,42,3,0.374327,0.374327,0.768704,m1,0.666062,0.374321,0.217341,6e-06
run4-tbt-3s/nazionale,nazionale,3,43,1,0.0,0.0,0.0,m1,1.0,0.340844,0.216668,-0.340844
run4-tbt-3s/nazionale,nazionale,3,44,0,0.0,0.0,0.0,,,0.41778,0.2286,-0.41778
run4-tbt-3s/nazionale,nazionale,3,45,0,0.0,0.0,0.0,,,0.381758,0.274277,-0.381758
