run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run5-tbt-2s/intercontinentale,intercontinentale,2,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,7,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,9,3,0.0,0.0,1.0,m1,0.333333,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,10,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/intercontinentale,intercontinentale,2,11,3,0.295554,0.295554,0.856948,m1,0.598547,0.295524,0.208001,3e-05
run5-tbt-2s/intercontinentale,intercontinentale,2,12,3,0.300441,0.300441,0.834916,m1,0.628194,0.300512,0.0,-7.1e-05
run5-tbt-2s/intercontinentale,intercontinentale,2,13,0,0.0,0.0,0.0,,,0.300512,0.0,-0.300512
run5-tbt-2s/intercontinentale,intercontinentale,2,14,3,0.37579,0.37579,0.763491,m1,0.676302,0.375791,0.236679,-1e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,15,3,0.346778,0.346778,0.803109,m1,0.640489,0.346779,0.264376,-1e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,16,2,0.201424,0.201424,0.879543,m1,0.701424,0.340395,0.219199,-0.138971
run5-tbt-2s/intercontinentale,intercontinentale,2,17,3,0.414931,0.414931,0.711098,m1,0.706002,0.414936,0.198027,-5e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,18,3,0.346966,0.346966,0.80177,m1,0.644211,0.34696,0.184093,7e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,19,3,0.355353,0.355353,0.792266,m1,0.650126,0.355356,0.232597,-3e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,20,2,0.2352,0.2352,0.833904,m1,0.7352,0.373585,0.238582,-0.138385
run5-tbt-2s/intercontinentale,intercontinentale,2,21,1,0.0,0.0,0.0,m3,1.0,0.413825,0.238582,-0.413825
run5-tbt-2s/intercontinentale,intercontinentale,2,22,3,0.328731,0.328731,0.809548,m1,0.648781,0.328719,0.233692,1.2e-05
run5-tbt-2s/intercontinentale,intercontinentale,2,23,3,0.340389,0.340389,0.812197,m1,0.622749,0.340395,0.219199,-6e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,24,2,0.267485,0.267485,0.78237,m1,0.767485,0.388269,0.271947,-0.120784
run5-tbt-2s/intercontinentale,intercontinentale,2,25,3,0.376165,0.376165,0.763387,m1,0.640041,0.37617,0.246166,-5e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,26,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,27,3,0.353994,0.353994,0.792822,m1,0.652032,0.353989,0.163691,5e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,28,2,0.347377,0.347377,0.616367,m1,0.847377,0.340395,0.219199,0.006982
run5-tbt-2s/intercontinentale,intercontinentale,2,29,2,0.299988,0.299988,0.721951,m1,0.799988,0.39874,0.300996,-0.098752
run5-tbt-2s/intercontinentale,intercontinentale,2,30,3,0.352858,0.352858,0.797027,m1,0.630459,0.352852,0.160924,7e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,31,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,32,2,0.201424,0.201424,0.879543,m1,0.701424,0.340395,0.219199,-0.138971
run5-tbt-2s/intercontinentale,intercontinentale,2,33,3,0.444655,0.444655,0.661843,m1,0.740716,0.444663,0.283015,-8e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,34,3,0.355353,0.355353,0.792266,m1,0.650126,0.355356,0.232597,-3e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,35,3,0.346966,0.346966,0.80177,m1,0.644211,0.34696,0.184093,7e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,36,2,0.347377,0.347377,0.616367,m1,0.847377,0.340395,0.219199,0.006982
run5-tbt-2s/intercontinentale,intercontinentale,2,37,2,0.305614,0.305614,0.710557,m1,0.805614,0.405449,0.271947,-0.099835
run5-tbt-2s/intercontinentale,intercontinentale,2,38,3,0.376165,0.376165,0.763387,m1,0.640041,0.37617,0.246166,-5e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,39,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,40,3,0.31179,0.31179,0.842951,m1,0.605063,0.311783,0.160924,6e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,41,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,42,1,0.0,0.0,0.0,m2,1.0,0.373585,0.238582,-0.373585
run5-tbt-2s/intercontinentale,intercontinentale,2,43,2,0.354992,0.354992,0.597206,m1,0.854992,0.341828,0.184093,0.013164
run5-tbt-2s/intercontinentale,intercontinentale,2,44,3,0.373029,0.373029,0.76181,m1,0.682463,0.373031,0.232597,-3e-06
run5-tbt-2s/intercontinentale,intercontinentale,2,45,2,0.2352,0.2352,0.833904,m1,0.7352,0.373585,0.238582,-0.138385
