run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run5-tbt-2s/regionale,regionale,2,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,7,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,9,3,0.0,0.0,1.0,m3,0.333333,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,10,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/regionale,regionale,2,11,3,0.295554,0.295554,0.856948,m1,0.598547,0.295524,0.208001,3e-05
run5-tbt-2s/regionale,regionale,2,12,3,0.300441,0.300441,0.834916,m1,0.628194,0.300512,0.0,-7.1e-05
run5-tbt-2s/regionale,regionale,2,13,0,0.0,0.0,0.0,,,0.300512,0.0,-0.300512
run5-tbt-2s/regionale,regionale,2,14,3,0.37579,0.37579,0.763491,m1,0.676302,0.375791,0.236679,-1e-06
run5-tbt-2s/regionale,regionale,2,15,3,0.346778,0.346778,0.803109,m1,0.640489,0.346779,0.264376,-1e-06
run5-tbt-2s/regionale,regionale,2,16,1,0.0,0.0,0.0,m2,1.0,0.34788,0.248932,-0.34788
run5-tbt-2s/regionale,regionale,2,17,3,0.351044,0.351044,0.796855,m1,0.618431,0.351047,0.232597,-3e-06
run5-tbt-2s/regionale,regionale,2,18,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run5-tbt-2s/regionale,regionale,2,19,2,0.111948,0.111948,0.963531,m2,0.611948,0.360235,0.233692,-0.248287
run5-tbt-2s/regionale,regionale,2,20,3,0.284267,0.284267,0.869747,m1,0.557859,0.284273,0.219199,-6e-06
run5-tbt-2s/regionale,regionale,2,21,1,0.0,0.0,0.0,m1,1.0,0.373585,0.238582,-0.373585
run5-tbt-2s/regionale,regionale,2,22,2,0.139904,0.139904,0.942763,m2,0.639904,0.418373,0.233692,-0.27847
run5-tbt-2s/regionale,regionale,2,23,3,0.32314,0.32314,0.829663,m1,0.592852,0.323144,0.274277,-4e-06
run5-tbt-2s/regionale,regionale,2,24,2,0.270412,0.270412,0.777292,m1,0.770412,0.364389,0.198027,-0.093977
run5-tbt-2s/regionale,regionale,2,25,3,0.413819,0.413819,0.712693,m1,0.686699,0.413825,0.238582,-6e-06
run5-tbt-2s/regionale,regionale,2,26,2,0.314964,0.314964,0.690972,m1,0.814964,0.311783,0.160924,0.00318
run5-tbt-2s/regionale,regionale,2,27,3,0.405447,0.405447,0.713461,m1,0.71752,0.405449,0.271947,-2e-06
run5-tbt-2s/regionale,regionale,2,28,2,0.228094,0.228094,0.844186,m1,0.728094,0.346779,0.264376,-0.118685
run5-tbt-2s/regionale,regionale,2,29,3,0.413819,0.413819,0.712693,m1,0.686699,0.413825,0.238582,-6e-06
run5-tbt-2s/regionale,regionale,2,30,2,0.314964,0.314964,0.690972,m1,0.814964,0.311783,0.160924,0.00318
run5-tbt-2s/regionale,regionale,2,31,3,0.405447,0.405447,0.713461,m1,0.71752,0.405449,0.271947,-2e-06
run5-tbt-2s/regionale,regionale,2,32,1,0.0,0.0,0.0,m2,1.0,0.373585,0.238582,-0.373585
run5-tbt-2s/regionale,regionale,2,33,3,0.351044,0.351044,0.796855,m1,0.618431,0.351047,0.232597,-3e-06
run5-tbt-2s/regionale,regionale,2,34,3,0.364385,0.364385,0.77389,m1,0.673009,0.364389,0.198027,-4e-06
run5-tbt-2s/regionale,regionale,2,35,1,0.0,0.0,0.0,m2,1.0,0.331794,0.246166,-0.331794
run5-tbt-2s/regionale,regionale,2,36,3,0.357617,0.357617,0.790924,m1,0.645987,0.357605,0.233692,1.2e-05
run5-tbt-2s/regionale,regionale,2,37,3,0.340389,0.340389,0.812197,m1,0.622749,0.340395,0.219199,-6e-06
