run_id,livello,tbt,epoca,host,indirizzo,esg_miner,esg_cluster_medio,esg_cluster_lista,attivita_miner_tau,attivita_cluster_tau_somma,attivita_cluster_tau_lista,contributi_c_i_lista,theta_epoca,peso_grezzo_epoca,allocazione_A_k,saldo_B_precedente,saldo_B_epoca,riconciliato_R_k,rho_epoca,rho_epoca_precedente,peso_pubblicato_epoca,peso_pubblicato_ricalcolato,scarto_ricalcolo,esito_ricalcolo,height_pubblicazione,malus_accumulatore_epoca,fattore_correzione_malus,peso_dopo_malus,dump_function_usata,peso_efficace_epoca,peso_effettivo_epoca,W_tot_epoca,quota_peso_epoca,blocchi_minati_epoca,blocchi_totali_epoca,quota_osservata_epoca,quota_attesa_vigenza,scostamento_quota,chi2_epoca,df_epoca,chi2_critico_5pct,compatibile_epoca,attesa_minima_epoca,campione_sufficiente_epoca,finestra_epoche,blocchi_finestra,chi2_finestra,df_finestra,compatibile_finestra,attesa_minima_finestra,campione_sufficiente_finestra
run6-tbt-10s/continentale,continentale,10,1,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,24.17,70.53,c5:70.53,2,27,c5:27,c5:19.0431,240.0,508.611727,3.242562,0.0,0.0,9.8836,1.0,,50861,50861,0,esatto,106,0.0,1.0,50861,none,50861.0,50861.0,752903.0,0.067553,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/continentale,continentale,10,1,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,85.56,47.33,"c1:17.50,c2:77.16",2,137,"c1:82,c2:55","c1:14.3500,c2:42.4380",240.0,5029.90128,32.067224,0.0,0.0,45.4949,1.0,,502990,502990,0,esatto,106,0.0,1.0,502990,none,502990.0,502990.0,752903.0,0.668067,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/continentale,continentale,10,1,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,26.46,96.01,"c3:99.26,c4:92.76",2,76,"c3:42,c4:34","c3:41.6892,c4:31.5384",240.0,1990.522296,12.690214,0.0,0.0,28.7336,1.0,,199052,199052,0,esatto,106,0.0,1.0,199052,none,199052.0,199052.0,752903.0,0.264379,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/continentale,continentale,10,2,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,24.17,70.53,c5:70.53,2,41,c5:41,c5:28.9173,370.0,747.271141,4.809331,0.0,0.0,8.9002,1.0,1.0,74727,74727,0,esatto,206,0.0,1.0,74727,none,74727.0,74727.0,1158364.0,0.064511,0,47,0.0,0.067553,-0.067553,3.456,2,5.991,1,3.175,0,5,47,3.456,2,1,3.175,0
run6-tbt-10s/continentale,continentale,10,2,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,85.56,47.33,"c1:17.50,c2:77.16",2,214,"c1:128,c2:86","c1:22.4000,c2:66.3576",370.0,7765.220256,49.975852,0.0,0.0,99.4294,1.0,1.0,785078,776522,-8556,scostamento,206,0.0,1.0,785078,none,785078.0,785078.0,1158364.0,0.677747,33,47,0.702128,0.668067,0.034061,3.456,2,5.991,1,3.175,0,5,47,3.456,2,1,3.175,0
run6-tbt-10s/continentale,continentale,10,2,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,26.46,96.01,"c3:99.26,c4:92.76",2,115,"c3:64,c4:51","c3:63.5264,c4:47.3076",370.0,2985.58764,19.214817,0.0,6.143017,13.0718,0.680298,1.0,298559,298559,0,esatto,206,0.0,1.0,298559,none,298559.0,298559.0,1158364.0,0.257742,14,47,0.297872,0.264379,0.033493,3.456,2,5.991,1,3.175,0,5,47,3.456,2,1,3.175,0
run6-tbt-10s/continentale,continentale,10,3,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,24.17,70.53,c5:70.53,2,44,c5:44,c5:31.0332,392.0,798.412444,5.168159,0.0,0.0,7.7284,1.0,1.0,79841,79841,0,esatto,306,0.0,1.0,79841,none,79841.0,79841.0,1172182.0,0.068113,7,100,0.07,0.064724,0.005276,0.1399,2,5.991,1,6.472,1,5,147,0.9248,2,1,9.647,1
run6-tbt-10s/continentale,continentale,10,3,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,85.56,47.33,"c1:17.50,c2:77.16",2,226,"c1:136,c2:90","c1:23.8000,c2:69.4440",392.0,8149.07664,52.749334,0.0,0.0,107.7405,1.0,1.0,823464,814908,-8556,scostamento,306,0.0,1.0,823464,none,823464.0,823464.0,1172182.0,0.702505,66,100,0.66,0.67707,-0.01707,0.1399,2,5.991,1,6.472,1,5,147,0.9248,2,1,9.647,1
run6-tbt-10s/continentale,continentale,10,3,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,26.46,96.01,"c3:99.26,c4:92.76",2,122,"c3:68,c4:54","c3:67.4968,c4:50.0904",392.0,3164.277312,20.482507,6.143017,0.0,69.0528,1.0,0.680298,268877,265846,-3031,scostamento,306,0.0,1.0,268877,none,268877.0,268877.0,1172182.0,0.229382,27,100,0.27,0.258207,0.011793,0.1399,2,5.991,1,6.472,1,5,147,0.9248,2,1,9.647,1
run6-tbt-10s/continentale,continentale,10,4,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,24.17,70.53,c5:70.53,2,43,c5:43,c5:30.3279,388.0,781.365343,5.036666,0.0,0.0,6.3013,1.0,1.0,78137,78137,0,esatto,406,0.0,1.0,78137,none,78137.0,78137.0,1212407.0,0.064448,7,100,0.07,0.067861,0.002139,3.764,2,5.991,1,6.786,1,5,247,1.1936,2,1,16.433,1
