run_id,livello,tbt,epoca,host,indirizzo,esg_miner,esg_cluster_medio,esg_cluster_lista,attivita_miner_tau,attivita_cluster_tau_somma,attivita_cluster_tau_lista,contributi_c_i_lista,theta_epoca,peso_grezzo_epoca,allocazione_A_k,saldo_B_precedente,saldo_B_epoca,riconciliato_R_k,rho_epoca,rho_epoca_precedente,peso_pubblicato_epoca,peso_pubblicato_ricalcolato,scarto_ricalcolo,esito_ricalcolo,height_pubblicazione,malus_accumulatore_epoca,fattore_correzione_malus,peso_dopo_malus,dump_function_usata,peso_efficace_epoca,peso_effettivo_epoca,W_tot_epoca,quota_peso_epoca,blocchi_minati_epoca,blocchi_totali_epoca,quota_osservata_epoca,quota_attesa_vigenza,scostamento_quota,chi2_epoca,df_epoca,chi2_critico_5pct,compatibile_epoca,attesa_minima_epoca,campione_sufficiente_epoca,finestra_epoche,blocchi_finestra,chi2_finestra,df_finestra,compatibile_finestra,attesa_minima_finestra,campione_sufficiente_finestra
run6-tbt-10s/intercontinentale,intercontinentale,10,1,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,2,27,c5:27,c5:19.0431,242.0,508.611727,3.234786,0.0,0.0,9.8835,1.0,,50861,50861,0,esatto,106,0.0,1.0,50861,none,50861.0,50861.0,761002.0,0.066834,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/intercontinentale,intercontinentale,10,1,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,139,"c1:83,c2:56","c1:14.5250,c2:43.2096",242.0,5110.892376,32.505431,0.0,0.0,45.4949,1.0,,511089,511089,0,esatto,106,0.0,1.0,511089,none,511089.0,511089.0,761002.0,0.6716,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/intercontinentale,intercontinentale,10,1,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,76,"c3:42,c4:34","c3:41.6892,c4:31.5384",242.0,1990.522296,12.659783,0.0,0.0,28.7335,1.0,,199052,199052,0,esatto,106,0.0,1.0,199052,none,199052.0,199052.0,761002.0,0.261566,0,0,,,,,,,,,,5,,,,,,
run6-tbt-10s/intercontinentale,intercontinentale,10,2,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,2,41,c5:41,c5:28.9173,368.0,747.271141,4.817267,0.0,0.0,8.3535,1.0,1.0,74727,74727,0,esatto,206,0.0,1.0,74727,none,74727.0,74727.0,1144355.0,0.065301,2,47,0.042553,0.066834,-0.024281,3.7237,2,5.991,1,3.141,0,5,47,3.7237,2,1,3.141,0
run6-tbt-10s/intercontinentale,intercontinentale,10,2,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,212,"c1:127,c2:85","c1:22.2250,c2:65.5860",368.0,7684.22916,49.53621,0.0,0.0,101.2323,1.0,1.0,768423,768423,0,esatto,206,0.0,1.0,768423,none,768423.0,768423.0,1144355.0,0.67149,27,47,0.574468,0.6716,-0.097132,3.7237,2,5.991,1,3.141,0,5,47,3.7237,2,1,3.141,0
run6-tbt-10s/intercontinentale,intercontinentale,10,2,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,115,"c3:64,c4:51","c3:63.5264,c4:47.3076",368.0,2985.58764,19.246523,0.0,5.641723,13.6048,0.706871,1.0,301205,298559,-2646,scostamento,206,0.0,1.0,301205,none,301205.0,301205.0,1144355.0,0.263209,18,47,0.382979,0.261566,0.121413,3.7237,2,5.991,1,3.141,0,5,47,3.7237,2,1,3.141,0
run6-tbt-10s/intercontinentale,intercontinentale,10,3,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,2,43,c5:43,c5:30.3279,384.0,781.365343,5.056803,0.0,0.0,7.0388,1.0,1.0,78137,78137,0,esatto,306,0.0,1.0,78137,none,78137.0,78137.0,1157462.0,0.067507,6,100,0.06,0.065408,-0.005408,2.2566,2,5.991,1,6.541,1,5,147,0.3545,2,1,9.682,1
run6-tbt-10s/intercontinentale,intercontinentale,10,3,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,221,"c1:133,c2:88","c1:23.2750,c2:67.9008",384.0,7972.121448,51.593597,0.0,0.0,106.8845,1.0,1.0,814324,797212,-17112,scostamento,306,0.0,1.0,814324,none,814324.0,814324.0,1157462.0,0.703543,74,100,0.74,0.671498,0.068502,2.2566,2,5.991,1,6.541,1,5,147,0.3545,2,1,9.682,1
run6-tbt-10s/intercontinentale,intercontinentale,10,3,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,120,"c3:67,c4:53","c3:66.5042,c4:49.1628",384.0,3113.46882,20.1496,5.641723,-0.0,68.5499,1.0,0.706871,265001,265714,713,scostamento,306,0.0,1.0,265001,none,265001.0,265001.0,1157462.0,0.22895,20,100,0.2,0.263094,-0.063094,2.2566,2,5.991,1,6.541,1,5,147,0.3545,2,1,9.682,1
run6-tbt-10s/intercontinentale,intercontinentale,10,4,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,2,43,c5:43,c5:30.3279,392.0,781.365343,5.038157,0.0,0.0,6.2022,1.0,1.0,,78137,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1233014.0,0.063371,5,100,0.05,0.067353,-0.017353,2.2598,2,5.991,1,6.735,1,5,247,1.741,2,1,16.417,1
run6-tbt-10s/intercontinentale,intercontinentale,10,4,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,227,"c1:136,c2:91","c1:23.8000,c2:70.2156",392.0,8215.094736,52.970022,0.0,0.0,116.0996,1.0,1.0,838621,821509,-17112,scostamento,406,0.0,1.0,838621,none,838621.0,838621.0,1233014.0,0.680139,77,100,0.77,0.701299,0.068701,2.2598,2,5.991,1,6.735,1,5,247,1.741,2,1,16.417,1
run6-tbt-10s/intercontinentale,intercontinentale,10,4,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,122,"c3:67,c4:55","c3:66.5042,c4:51.0180",392.0,3162.557412,20.39182,-0.0,-0.0,29.6027,1.0,1.0,316256,316256,0,esatto,406,0.0,1.0,316256,none,316256.0,316256.0,1233014.0,0.25649,18,100,0.18,0.231348,-0.051348,2.2598,2,5.991,1,6.735,1,5,247,1.741,2,1,16.417,1
run6-tbt-10s/intercontinentale,intercontinentale,10,5,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,1,43,c5:43,c5:30.3279,386.0,757.195343,4.90243,0.0,0.0,5.0559,1.0,1.0,75720,75720,0,esatto,506,0.0,1.0,75720,none,75720.0,75720.0,1203580.0,0.062912,9,100,0.09,0.06366,0.02634,1.2495,2,5.991,1,6.366,1,5,347,0.4871,2,1,22.783,1
run6-tbt-10s/intercontinentale,intercontinentale,10,5,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,223,"c1:134,c2:89","c1:23.4500,c2:68.6724",386.0,8053.112544,52.139545,0.0,0.0,118.2021,1.0,1.0,813867,805311,-8556,scostamento,506,0.0,1.0,813867,none,813867.0,813867.0,1203580.0,0.676205,65,100,0.65,0.681777,-0.031777,1.2495,2,5.991,1,6.366,1,5,347,0.4871,2,1,22.783,1
run6-tbt-10s/intercontinentale,intercontinentale,10,5,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,120,"c3:67,c4:53","c3:66.5042,c4:49.1628",386.0,3113.46882,20.158025,-0.0,6.352825,13.8052,0.684849,1.0,313993,311347,-2646,scostamento,506,0.0,1.0,313993,none,313993.0,313993.0,1203580.0,0.260883,26,100,0.26,0.254562,0.005438,1.2495,2,5.991,1,6.366,1,5,347,0.4871,2,1,22.783,1
run6-tbt-10s/intercontinentale,intercontinentale,10,6,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,2,43,c5:43,c5:30.3279,385.0,781.365343,5.041923,0.0,0.601823,4.4401,0.880636,1.0,,78137,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.062912,2,100,0.02,0.062944,-0.042944,6.7464,2,5.991,0,6.294,1,5,447,3.1978,2,1,29.078,1
run6-tbt-10s/intercontinentale,intercontinentale,10,6,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",2,222,"c1:133,c2:89","c1:23.2750,c2:68.6724",385.0,8038.139544,51.867771,0.0,0.0,115.6826,1.0,1.0,,803814,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.676205,79,100,0.79,0.676481,0.113519,6.7464,2,5.991,0,6.294,1,5,447,3.1978,2,1,29.078,1
run6-tbt-10s/intercontinentale,intercontinentale,10,6,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",2,120,"c3:67,c4:53","c3:66.5042,c4:49.1628",385.0,3113.46882,20.090306,6.352825,0.0,68.2334,1.0,0.684849,,262286,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.260883,19,100,0.19,0.260575,-0.070575,6.7464,2,5.991,0,6.294,1,5,447,3.1978,2,1,29.078,1
run6-tbt-10s/intercontinentale,intercontinentale,10,7,m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,24.17,70.53,c5:70.53,1,6,c5:6,c5:4.2318,56.0,126.452606,0.769632,0.601823,0.0,23.5,1.0,0.880636,,11891,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.062912,0,3,0.0,0.062912,-0.062912,1.4365,2,5.991,1,0.189,0,5,403,6.0038,2,0,26.125,1
run6-tbt-10s/intercontinentale,intercontinentale,10,7,m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,85.56,47.33,"c1:17.50,c2:77.16",1,32,"c1:19,c2:13","c1:3.3250,c2:10.0308",56.0,1228.282248,7.475724,0.0,0.0,116.0146,1.0,1.0,,122828,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.676205,3,3,1.0,0.676205,0.323795,1.4365,2,5.991,1,0.189,0,5,403,6.0038,2,0,26.125,1
run6-tbt-10s/intercontinentale,intercontinentale,10,7,m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,26.46,96.01,"c3:99.26,c4:92.76",1,18,"c3:10,c4:8","c3:9.9260,c4:7.4208",56.0,485.456328,2.954645,0.0,0.0,30.6871,1.0,1.0,,48546,,non pubblicato in questa epoca,,0.0,1.0,,none,,,1203580.0,0.260883,0,3,0.0,0.260883,-0.260883,1.4365,2,5.991,1,0.189,0,5,403,6.0038,2,0,26.125,1
