run_id,livello,tbt,height_invio,height_conferma,epoca,nodo_publisher,indirizzo,miner_cluster,seq,esito,dettaglio_errore,txid
run6-tbt-10s/regionale,regionale,10,34,35,1,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,m3,1,ok,,47139e174addd5f873a1885eaf611e4236410e75055b6dc0fb9d5da2fa15d6f7
run6-tbt-10s/regionale,regionale,10,34,35,1,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,m2,1,ok,,7e44044fb1b12dc70613a56380042bfd4e4ae4d38907bcdd96ae3c02be9e3759
run6-tbt-10s/regionale,regionale,10,34,35,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,1,ok,,f577e2cf57e1a5c6c3ebbbdd6cc6fa83e17d478be211ec94538349705fc0c6be
run6-tbt-10s/regionale,regionale,10,34,35,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,1,ok,,f0853e0dc9be8b0a6347c6ae2da45a62110466d6cf07dd73026588639bd60637
run6-tbt-10s/regionale,regionale,10,34,35,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,1,ok,,5a0fda44d534f87ab36a9963271983103ff99131956161bd162b09fa80573d6c
run6-tbt-10s/regionale,regionale,10,34,35,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,2,ok,,45f4708e855203f2a7ae19e07bb6b7aa136c57f790aaa7f7430482d5ee8a357c
run6-tbt-10s/regionale,regionale,10,35,36,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,2,ok,,050ddc1f978cc05ba9b9172ac137f8ef7c043e37465de9b93caf005286a15ed9
run6-tbt-10s/regionale,regionale,10,35,36,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,2,ok,,474b0f572f18a276021c8b7d6b9f369b837c9913e37c0cbd8d02fd84842bd3d1
run6-tbt-10s/regionale,regionale,10,35,36,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,3,ok,,da446eb300a4ee43d50d5720cbbaf5a24061e21b803d030e9e384e361fa28ef1
run6-tbt-10s/regionale,regionale,10,36,37,1,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,m2,2,ok,,8dd145b3f6be417c80eff608aac3ca0c1423a7e0fe21d13ec8cbbfec4e66687c
run6-tbt-10s/regionale,regionale,10,36,37,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,3,ok,,f83f17daa5c29444d683f1bad1fd9dd0d46a4120c1fe9f05624ffc310a30c9bb
run6-tbt-10s/regionale,regionale,10,36,37,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,4,ok,,86030352c9027c527404a4d6162797538dd032a0bf7a2a76ad6390c53ed9365d
run6-tbt-10s/regionale,regionale,10,36,37,1,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,m3,2,ok,,db513033d3fb1d8f7464d5e78f9ea32e7242e40e550eb73de4b26a6d76eba0c7
run6-tbt-10s/regionale,regionale,10,37,38,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,3,ok,,38e13a579bf6fb29d45e74b12fa73f697f5c8559773e295d6ba1b3a80db2e254
run6-tbt-10s/regionale,regionale,10,37,38,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,5,ok,,efc4aa8721dee31b87407f6ea1809eb7ed5955cb354ceac1ef7c6a20fb676737
run6-tbt-10s/regionale,regionale,10,37,38,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,4,ok,,239293b724f3334989a2c06cd3d21702ed5ca84b29cdf4d7d2c37f7ee80daabe
run6-tbt-10s/regionale,regionale,10,38,39,1,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,m2,3,ok,,b69027ae8b0d2b87a3270f86e7048a08358d74801fa8b94ca6a5b9ca2738bc00
run6-tbt-10s/regionale,regionale,10,38,39,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,6,ok,,9a9b6a07cec761d55895d20c98c2ad9a64378b9b7999f3309b850ae35b601338
run6-tbt-10s/regionale,regionale,10,38,39,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,4,ok,,d9d46a2d249a71f5625121a80fe5eee14e91801803c7182c2bea80d272e7ba4b
run6-tbt-10s/regionale,regionale,10,38,39,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,5,ok,,f0d7d2d0cd8bc2cbe0264c8355b604efe62b5b96fbbde19446e83b2d39330281
run6-tbt-10s/regionale,regionale,10,38,39,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,7,ok,,0d5423adeb7d792818e9943bb0209120d96f26328e845ff8e9b211a7e8615c5c
run6-tbt-10s/regionale,regionale,10,38,39,1,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,m3,3,ok,,7d104e1ed659becfd193d00f8a4d65017f6d91fd91f5b4095e304d5f299b1154
run6-tbt-10s/regionale,regionale,10,39,40,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,8,ok,,6ad8753a4a515006839e840c72bf6f3bbfa56c311d85548a95625eddbd4cb943
run6-tbt-10s/regionale,regionale,10,39,40,1,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,m2,4,ok,,fccd11ceab1c20dab0bd39057a9ce59cc70af16c9c05f06b5619065004df4d45
run6-tbt-10s/regionale,regionale,10,39,40,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,6,ok,,bd09c7e15a04b0d6e6705988a5961b22eeb13c9fb0386838e582a34c27a443bf
run6-tbt-10s/regionale,regionale,10,40,41,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,5,ok,,c83b1d906ba2667ce104421afa5877394d1e073cbea74be17f6d5b4d01ec1238
run6-tbt-10s/regionale,regionale,10,40,41,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,9,ok,,4f095a544d61f4bdbfda5cf8d5795a2b69087efe98b6646fc4156b50ac1de678
run6-tbt-10s/regionale,regionale,10,41,42,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,7,ok,,7171d4774234c73ff8f692952d8bb265b374da4e7cdd56c4e1e44310daa3fd46
run6-tbt-10s/regionale,regionale,10,41,42,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,10,ok,,fb014f97a4579bda43ef585a136c2d9feae5625aa57a33b3236580d2c8818bc0
run6-tbt-10s/regionale,regionale,10,41,42,1,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,m3,4,ok,,aff71dd0381a4734c7cc6e8429648875ddf7812696d0b40e5cd5981c3b1c138a
run6-tbt-10s/regionale,regionale,10,42,43,1,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,m2,5,ok,,0ff63c781ec92db62075f38ed3faa5a3c4908b0406be86b01a4453cdf4845194
run6-tbt-10s/regionale,regionale,10,42,43,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,6,ok,,5945ddd0570db1de96aad46f192fd11aea89642cd1f6770e8dc29c296c11721d
run6-tbt-10s/regionale,regionale,10,42,43,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,11,ok,,46c2f05b9a7bbc763e482d2d27da97b04b5bd04a25270d2224a8b88cfac9ec54
run6-tbt-10s/regionale,regionale,10,42,43,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,8,ok,,862bd4e77e5de124af87063dfcc96d54e6225f5c444350783fc1b2cd035ec50a
run6-tbt-10s/regionale,regionale,10,43,44,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,12,ok,,be6c3f0faa62f4d17c8704f72e625f6623fede790ccc32c9964a3b526d1edada
run6-tbt-10s/regionale,regionale,10,43,44,1,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,m2,7,ok,,82552477362284cf2676b6095939dc062db6c874c56ec630174a08f840f2908c
run6-tbt-10s/regionale,regionale,10,43,44,1,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,m1,9,ok,,56a92ab5d1ec09a070dcb4030692978b4d88571395a4bc98e795ee14bf62e936
run6-tbt-10s/regionale,regionale,10,43,44,1,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,m1,13,ok,,b9f8d88d74c9a3fcd6275dfba78b810e11b424e4adc41e82098806c38890deea
run6-tbt-10s/regionale,regionale,10,43,44,1,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,m3,5,ok,,e2ea9be7f7c7718f126a90a317f5a514f1749028e5d9ba3fd6417e3cf5f043f3
