run_id,livello,tbt,chi2_summary,df_summary,critico_summary,compatibile_summary,verdetto_summary
run1-tbt-15s/continentale,continentale,15,1.729,2,5.991,1,compatibile con la selezione pesata
run1-tbt-15s/intercontinentale,intercontinentale,15,3.54,2,5.991,1,compatibile con la selezione pesata
run1-tbt-15s/nazionale,nazionale,15,0.499,2,5.991,1,compatibile con la selezione pesata
run1-tbt-15s/regionale,regionale,15,2.146,2,5.991,1,compatibile con la selezione pesata
run2-tbt-10s/continentale,continentale,10,0.206,2,5.991,1,compatibile con la selezione pesata
run2-tbt-10s/intercontinentale,intercontinentale,10,5.51,2,5.991,1,compatibile con la selezione pesata
run2-tbt-10s/nazionale,nazionale,10,2.764,2,5.991,1,compatibile con la selezione pesata
run2-tbt-10s/regionale,regionale,10,12.625,2,5.991,0,NON compatibile con la selezione pesata
run3-tbt-5s/continentale,continentale,5,6.563,2,5.991,0,NON compatibile con la selezione pesata
run3-tbt-5s/intercontinentale,intercontinentale,5,20.305,2,5.991,0,NON compatibile con la selezione pesata
run3-tbt-5s/nazionale,nazionale,5,11.312,2,5.991,0,NON compatibile con la selezione pesata
run3-tbt-5s/regionale,regionale,5,22.351,2,5.991,0,NON compatibile con la selezione pesata
run4-tbt-3s/continentale,continentale,3,13.518,2,5.991,0,NON compatibile con la selezione pesata
run4-tbt-3s/intercontinentale,intercontinentale,3,48.482,2,5.991,0,NON compatibile con la selezione pesata
run4-tbt-3s/nazionale,nazionale,3,21.187,2,5.991,0,NON compatibile con la selezione pesata
run4-tbt-3s/regionale,regionale,3,10.938,2,5.991,0,NON compatibile con la selezione pesata
run5-tbt-2s/continentale,continentale,2,16.496,2,5.991,0,NON compatibile con la selezione pesata
run5-tbt-2s/intercontinentale,intercontinentale,2,50.77,2,5.991,0,NON compatibile con la selezione pesata
run5-tbt-2s/nazionale,nazionale,2,35.286,2,5.991,0,NON compatibile con la selezione pesata
run5-tbt-2s/regionale,regionale,2,24.758,2,5.991,0,NON compatibile con la selezione pesata
run6-tbt-10s/continentale,continentale,10,1.986,2,5.991,1,compatibile con la selezione pesata
run6-tbt-10s/intercontinentale,intercontinentale,10,4.356,2,5.991,1,compatibile con la selezione pesata
run6-tbt-10s/nazionale,nazionale,10,0.045,2,5.991,1,compatibile con la selezione pesata
run6-tbt-10s/regionale,regionale,10,14.98,2,5.991,0,NON compatibile con la selezione pesata
