run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run1-tbt-15s/continentale,continentale,15,1,3,0.0,0.0,1.0,m3,0.333333,0.0,0.0,0.0
run1-tbt-15s/continentale,continentale,15,2,3,0.144893,0.144893,0.961953,m1,0.422464,0.144904,0.071053,-1.1e-05
run1-tbt-15s/continentale,continentale,15,3,3,0.327056,0.327056,0.822979,m1,0.590343,0.327053,0.226421,3e-06
run1-tbt-15s/continentale,continentale,15,4,3,0.353253,0.353253,0.791003,m1,0.613497,0.353251,0.239295,2e-06
run1-tbt-15s/continentale,continentale,15,5,2,0.168486,0.168486,0.916466,m1,0.668486,0.345684,0.242179,-0.177198
run1-tbt-15s/continentale,continentale,15,6,3,0.355292,0.355292,0.783626,m1,0.60778,0.355294,0.228613,-2e-06
run1-tbt-15s/continentale,continentale,15,7,3,0.347459,0.347459,0.799726,m1,0.611207,0.347463,0.237025,-3e-06
run1-tbt-15s/continentale,continentale,15,8,3,0.34741,0.34741,0.798455,m1,0.608349,0.347406,0.236668,3e-06
run1-tbt-15s/continentale,continentale,15,9,3,0.352937,0.352937,0.792751,m1,0.615924,0.352938,0.239455,-2e-06
run1-tbt-15s/continentale,continentale,15,10,2,0.168766,0.168766,0.916183,m1,0.668766,0.352042,0.24284,-0.183277
run1-tbt-15s/continentale,continentale,15,11,3,0.354967,0.354967,0.786681,m1,0.611385,0.354968,0.22937,-2e-06
run1-tbt-15s/continentale,continentale,15,12,3,0.346568,0.346568,0.797901,m1,0.604621,0.346568,0.240547,-0.0
run1-tbt-15s/continentale,continentale,15,13,2,0.166,0.166,0.918961,m1,0.666,0.342339,0.22928,-0.176338
run1-tbt-15s/continentale,continentale,15,14,0,0.0,0.0,0.0,,,0.358403,0.240547,-0.358403
run1-tbt-15s/continentale,continentale,15,15,0,0.0,0.0,0.0,,,0.353859,0.234453,-0.353859
run1-tbt-15s/intercontinentale,intercontinentale,15,1,3,0.0,0.0,1.0,m1,0.333333,0.0,0.0,0.0
run1-tbt-15s/intercontinentale,intercontinentale,15,2,3,0.144893,0.144893,0.961953,m1,0.422464,0.144904,0.071053,-1.1e-05
run1-tbt-15s/intercontinentale,intercontinentale,15,3,3,0.327056,0.327056,0.822979,m1,0.590343,0.327053,0.226421,3e-06
