parametro_variato,valori,n_run,run_id,costanti
livello,continentale | intercontinentale | nazionale | regionale,4,run6-tbt-10s/continentale run6-tbt-10s/intercontinentale run6-tbt-10s/nazionale run6-tbt-10s/regionale,target_block_time=10; mining_diversity=0.0; weight_epoch_length=100; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
livello,continentale | intercontinentale | nazionale | regionale,4,run2-tbt-10s/continentale run2-tbt-10s/intercontinentale run2-tbt-10s/nazionale run2-tbt-10s/regionale,target_block_time=10; mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
livello,continentale | intercontinentale | nazionale | regionale,4,run1-tbt-15s/continentale run1-tbt-15s/intercontinentale run1-tbt-15s/nazionale run1-tbt-15s/regionale,target_block_time=15; mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
livello,continentale | intercontinentale | nazionale | regionale,4,run5-tbt-2s/continentale run5-tbt-2s/intercontinentale run5-tbt-2s/nazionale run5-tbt-2s/regionale,target_block_time=2; mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
livello,continentale | intercontinentale | nazionale | regionale,4,run4-tbt-3s/continentale run4-tbt-3s/intercontinentale run4-tbt-3s/nazionale run4-tbt-3s/regionale,target_block_time=3; mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
livello,continentale | intercontinentale | nazionale | regionale,4,run3-tbt-5s/continentale run3-tbt-5s/intercontinentale run3-tbt-5s/nazionale run3-tbt-5s/regionale,target_block_time=5; mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none
target_block_time,10 | 15 | 2 | 3 | 5,5,run1-tbt-15s/continentale run2-tbt-10s/continentale run3-tbt-5s/continentale run4-tbt-3s/continentale run5-tbt-2s/continentale,mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=continentale
target_block_time,10 | 15 | 2 | 3 | 5,5,run1-tbt-15s/intercontinentale run2-tbt-10s/intercontinentale run3-tbt-5s/intercontinentale run4-tbt-3s/intercontinentale run5-tbt-2s/intercontinentale,mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=intercontinentale
target_block_time,10 | 15 | 2 | 3 | 5,5,run1-tbt-15s/nazionale run2-tbt-10s/nazionale run3-tbt-5s/nazionale run4-tbt-3s/nazionale run5-tbt-2s/nazionale,mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=nazionale
target_block_time,10 | 15 | 2 | 3 | 5,5,run1-tbt-15s/regionale run2-tbt-10s/regionale run3-tbt-5s/regionale run4-tbt-3s/regionale run5-tbt-2s/regionale,mining_diversity=0.0; weight_epoch_length=12; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=regionale
weight_epoch_length,100 | 12,2,run2-tbt-10s/continentale run6-tbt-10s/continentale,target_block_time=10; mining_diversity=0.0; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=continentale
weight_epoch_length,100 | 12,2,run2-tbt-10s/intercontinentale run6-tbt-10s/intercontinentale,target_block_time=10; mining_diversity=0.0; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=intercontinentale
weight_epoch_length,100 | 12,2,run2-tbt-10s/nazionale run6-tbt-10s/nazionale,target_block_time=10; mining_diversity=0.0; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=nazionale
weight_epoch_length,100 | 12,2,run2-tbt-10s/regionale run6-tbt-10s/regionale,target_block_time=10; mining_diversity=0.0; weight_kappa=100; weight_lambda=0.5; wpoa_sortition_delta=0.5; wpoa_sortition_lambda=0.2; wpoa_randao_lookback=1; dump_function=none; livello=regionale
