run_id,livello,tbt,gas_distribuito_init,movimenti_init,gas_rifornito,rifornimenti,gas_riconciliato_totale,epoche_con_riconciliazione,saldo_treasury,riconciliato_m1,riconciliato_m2,riconciliato_m3
run1-tbt-15s/continentale,continentale,15,700.0,9,2200.0,22,2048.6295,14,2048.6295,1369.933,543.1124,135.5841
run1-tbt-15s/intercontinentale,intercontinentale,15,700.0,9,2000.0,20,2043.5033,14,2043.5033,1365.8382,540.9148,136.7503
run1-tbt-15s/nazionale,nazionale,15,700.0,9,2300.0,23,2186.4063,15,2048.8334,1472.8565,554.1978,159.352
run1-tbt-15s/regionale,regionale,15,700.0,9,2100.0,21,2018.0117,14,1846.1744,1366.9034,517.0294,134.0789
run2-tbt-10s/continentale,continentale,10,700.0,9,3900.0,39,3894.7849,26,3707.7876,2586.5083,1016.3399,291.9367
run2-tbt-10s/intercontinentale,intercontinentale,10,700.0,9,4000.0,40,4037.5605,27,3894.9521,2689.9944,1044.8934,302.6727
run2-tbt-10s/nazionale,nazionale,10,700.0,9,4100.0,41,4050.3742,27,3924.4625,2694.0789,1052.6494,303.6459
run2-tbt-10s/regionale,regionale,10,700.0,9,3900.0,39,3834.8479,26,3834.8479,2590.7093,953.7189,290.4197
run3-tbt-5s/continentale,continentale,5,700.0,9,4900.0,49,4749.088,32,4618.1886,3174.4141,1240.0828,334.5911
run3-tbt-5s/intercontinentale,intercontinentale,5,700.0,9,4900.0,49,4759.1811,32,4508.2783,3178.3806,1247.1431,333.6574
run3-tbt-5s/nazionale,nazionale,5,700.0,9,4600.0,46,4757.7516,32,4507.3175,3175.7402,1248.8445,333.1669
run3-tbt-5s/regionale,regionale,5,700.0,9,4900.0,49,4759.0029,32,4508.4431,3179.914,1245.9339,333.155
run4-tbt-3s/continentale,continentale,3,700.0,9,5900.0,59,5832.1655,39,5404.4887,3869.829,1539.1694,423.1671
run4-tbt-3s/intercontinentale,intercontinentale,3,700.0,9,5900.0,59,5830.8069,39,5403.3911,3875.6475,1532.5029,422.6565
run4-tbt-3s/nazionale,nazionale,3,700.0,9,5700.0,57,5829.6318,39,5402.2956,3870.9592,1536.5424,422.1302
run4-tbt-3s/regionale,regionale,3,700.0,9,5700.0,57,5832.4027,39,5365.5459,3874.8944,1535.5089,421.9994
run5-tbt-2s/continentale,continentale,2,700.0,9,6400.0,64,6493.5454,45,6141.3603,4270.3556,1734.6091,488.5807
run5-tbt-2s/intercontinentale,intercontinentale,2,700.0,9,6600.0,66,6682.9382,46,6155.1113,4372.0704,1803.3536,507.5142
run5-tbt-2s/nazionale,nazionale,2,700.0,9,6800.0,68,6883.5861,46,6153.6619,4571.7302,1804.3281,507.5278
run5-tbt-2s/regionale,regionale,2,700.0,9,6900.0,69,6911.489,46,6265.861,4569.279,1834.0278,508.1822
run6-tbt-10s/continentale,continentale,10,700.0,9,1000.0,10,1018.2506,7,867.2388,717.2969,253.3816,47.5721
run6-tbt-10s/intercontinentale,intercontinentale,10,700.0,9,1000.0,10,1037.3012,7,1037.3012,719.6106,253.2166,64.474
run6-tbt-10s/nazionale,nazionale,10,700.0,9,1000.0,10,1038.5117,7,869.4694,716.6995,256.0587,65.7535
run6-tbt-10s/regionale,regionale,10,700.0,9,1000.0,10,1042.1164,7,869.4327,725.6709,251.3846,65.0609
