run_id,livello,tbt,rtt_max_ms,banda_dmax_s,round,G_medio_s,G_mediano_s,G_min_s,G_p05_s,round_G_sotto_100ms,frazione_G_sotto_100ms,G_mediano_su_Dmax
run1-tbt-15s/continentale,continentale,15,44.7,7.5,117,5.0083,4.502,0.0,0.357,4,0.0342,0.6003
run1-tbt-15s/intercontinentale,intercontinentale,15,112.0,7.5,120,5.1068,4.259,0.084,0.552,1,0.0083,0.5679
run1-tbt-15s/nazionale,nazionale,15,22.0,7.5,122,5.2773,3.8175,0.034,0.248,4,0.0328,0.509
run1-tbt-15s/regionale,regionale,15,10.0,7.5,116,4.4808,3.3925,0.013,0.171,4,0.0345,0.4523
run2-tbt-10s/continentale,continentale,10,44.7,5.0,272,3.2383,2.7435,0.005,0.177,7,0.0257,0.5487
run2-tbt-10s/intercontinentale,intercontinentale,10,112.0,5.0,276,3.3551,2.964,0.001,0.173,9,0.0326,0.5928
run2-tbt-10s/nazionale,nazionale,10,22.0,5.0,276,3.5761,3.008,0.005,0.159,10,0.0362,0.6016
run2-tbt-10s/regionale,regionale,10,10.0,5.0,273,3.3509,2.86,0.011,0.14,12,0.044,0.572
run3-tbt-5s/continentale,continentale,5,44.7,2.5,343,1.7349,1.527,0.001,0.078,21,0.0612,0.6108
run3-tbt-5s/intercontinentale,intercontinentale,5,112.0,2.5,346,1.8453,1.5955,0.002,0.095,19,0.0549,0.6382
run3-tbt-5s/nazionale,nazionale,5,22.0,2.5,337,1.6835,1.45,0.002,0.075,23,0.0682,0.58
run3-tbt-5s/regionale,regionale,5,10.0,2.5,340,1.7045,1.3825,0.003,0.094,20,0.0588,0.553
run4-tbt-3s/continentale,continentale,3,44.7,1.5,426,1.0952,0.94,0.0,0.049,35,0.0822,0.6267
run4-tbt-3s/intercontinentale,intercontinentale,3,112.0,1.5,425,1.0552,0.836,0.001,0.064,32,0.0753,0.5573
run4-tbt-3s/nazionale,nazionale,3,22.0,1.5,423,1.081,0.885,0.002,0.051,36,0.0851,0.59
run4-tbt-3s/regionale,regionale,3,10.0,1.5,421,0.9951,0.793,0.0,0.043,41,0.0974,0.5287
run5-tbt-2s/continentale,continentale,2,44.7,1.0,498,0.6691,0.546,0.005,0.037,64,0.1285,0.546
run5-tbt-2s/intercontinentale,intercontinentale,2,112.0,1.0,503,0.6855,0.548,0.001,0.032,67,0.1332,0.548
run5-tbt-2s/nazionale,nazionale,2,22.0,1.0,504,0.6807,0.587,0.0,0.031,66,0.131,0.587
run5-tbt-2s/regionale,regionale,2,10.0,1.0,506,0.7294,0.616,0.0,0.029,70,0.1383,0.616
